group_key,dataset,gt_x,gt_y,gt_h,est_x,est_y,est_h,tag_id,camera_role,distance_residual_cm,distance_weight,angle_residual_deg,angle_weight,yaw_residual_deg,yaw_weight
624_x4.000_y4.000_h270.0,624,4.0,4.0,270.0,3.9812499999999997,3.9531249999999996,268.75,49,front,-0.16656392126330744,1.0,1.407360856002299,0.5,-5.54263914399769,0.05
624_x5.000_y3.000_h0.0,624,5.0,3.0,0.0,4.90625,3.290625000000001,355.3125,32,front,0.655914124419299,1.0,5.198557190657709,0.5,-4.288942809342274,0.05
624_x5.000_y3.000_h0.0,624,5.0,3.0,0.0,4.90625,3.290625000000001,355.3125,41,rear,16.517929472271,0.25,13.751269621844983,0.0,-14.236230378155028,0.0025
624_x5.000_y3.000_h0.0,624,5.0,3.0,0.0,4.90625,3.290625000000001,355.3125,55,front,1.562537141689191,1.0,-1.2594367825413144,0.5,-7.546936782541309,0.05
624_x5.000_y3.000_h0.0,624,5.0,3.0,0.0,4.90625,3.290625000000001,355.3125,56,front,2.1175249092554083,0.5,-2.2684592931011593,0.5,1.2440407068988293,0.05
624_x5.000_y3.000_h0.0,624,5.0,3.0,0.0,4.90625,3.290625000000001,355.3125,57,front,-31.466369604874345,0.0,-1.7335258690264368,0.5,19.378974130973575,0.0125
624_x5.000_y3.000_h90.0,624,5.0,3.0,90.0,4.9593750000000005,3.0250000000000004,89.84375,34,front,0.34914382884991824,1.0,-1.5530459052456251,0.5,1.2907040947543749,0.05
624_x5.000_y3.000_h90.0,624,5.0,3.0,90.0,4.9593750000000005,3.0250000000000004,89.84375,35,front,1.6189655245978152,1.0,-3.2461287288843153,0.5,-3.2023787288843835,0.05
624_x5.000_y3.000_h90.0,624,5.0,3.0,90.0,4.9593750000000005,3.0250000000000004,89.84375,36,front,1.7807868424907447,1.0,-2.5606075565613935,0.5,-5.416857556561439,0.05
624_x5.000_y3.000_h90.0,624,5.0,3.0,90.0,4.9593750000000005,3.0250000000000004,89.84375,37,front,-3.08858062065811,1.0,4.518802669020147,0.5,-9.137447330979853,0.05
624_x5.000_y3.000_h90.0,624,5.0,3.0,90.0,4.9593750000000005,3.0250000000000004,89.84375,48,rear,-1.117862537163905,0.5,5.499896027951536,0.1,-11.256353972048487,0.0025
624_x5.000_y3.000_h90.0,624,5.0,3.0,90.0,4.9593750000000005,3.0250000000000004,89.84375,49,rear,5.20430124782969,0.5,4.227922165522216,0.2,7.471672165522193,0.01
624_x5.000_y3.000_h180.0,624,5.0,3.0,180.0,4.956250000000001,2.9562500000000003,175.625,38,front,-0.5813224761394675,1.0,-0.32039092940127034,0.5,-7.495390929401282,0.05
624_x5.000_y3.000_h180.0,624,5.0,3.0,180.0,4.956250000000001,2.9562500000000003,175.625,39,front,-0.3617493257875193,1.0,0.45080001614121556,0.5,-2.524199983858807,0.05
624_x5.000_y3.000_h180.0,624,5.0,3.0,180.0,4.956250000000001,2.9562500000000003,175.625,40,front,-4.580285329854483,1.0,-0.09714960259179861,0.5,-56.27214960259178,0.0
624_x5.000_y3.000_h180.0,624,5.0,3.0,180.0,4.956250000000001,2.9562500000000003,175.625,41,front,4.9430009120992935,1.0,-1.7241013473542637,0.5,-22.099101347354264,0.0125
624_x5.000_y3.000_h180.0,624,5.0,3.0,180.0,4.956250000000001,2.9562500000000003,175.625,42,front,2.3579644131810795,1.0,-2.0532816291884615,0.5,1.1717183708115328,0.05
624_x5.000_y3.000_h180.0,624,5.0,3.0,180.0,4.956250000000001,2.9562500000000003,175.625,44,front,-3.5775429237282275,1.0,7.012439350014631,0.25,-13.262560649985346,0.0125
624_x5.000_y3.000_h270.0,624,5.0,3.0,270.0,4.9375,3.0093750000000004,268.75,35,rear,-2.7724047502201365,0.5,4.20224322416027,0.2,-17.14775677583981,0.0025
624_x5.000_y3.000_h270.0,624,5.0,3.0,270.0,4.9375,3.0093750000000004,268.75,36,rear,1.9925462750408407,0.5,1.9040234472422242,0.2,11.254023447242218,0.0025
624_x5.000_y3.000_h270.0,624,5.0,3.0,270.0,4.9375,3.0093750000000004,268.75,46,front,-0.19730534687885104,1.0,-0.008897002232288287,0.5,3.4411029977677003,0.05
624_x5.000_y3.000_h270.0,624,5.0,3.0,270.0,4.9375,3.0093750000000004,268.75,47,front,1.413055665885432,1.0,0.3080318241835869,0.5,-56.54196817581642,0.0
624_x5.000_y3.000_h270.0,624,5.0,3.0,270.0,4.9375,3.0093750000000004,268.75,48,front,0.6953707157950628,1.0,-1.5442867809281893,0.5,-18.594286780928172,0.0125
624_x5.000_y3.000_h270.0,624,5.0,3.0,270.0,4.9375,3.0093750000000004,268.75,49,front,-2.724462132764005,1.0,-1.547776875553268,0.5,-1.1977768755532736,0.05
624_x5.000_y4.000_h0.0,624,5.0,4.0,0.0,4.874999999999999,4.2437499999999995,356.5625,34,front,2.3381356927477004,1.0,4.299273577236562,0.5,-3.138226422763438,0.05
624_x5.000_y4.000_h0.0,624,5.0,4.0,0.0,4.874999999999999,4.2437499999999995,356.5625,40,rear,18.863227056125975,0.25,11.885279635415628,0.1,-9.452220364584377,0.01
624_x5.000_y4.000_h0.0,624,5.0,4.0,0.0,4.874999999999999,4.2437499999999995,356.5625,55,front,2.562724845642528,1.0,-1.062383856974833,0.5,-6.19988385697485,0.05
624_x5.000_y4.000_h0.0,624,5.0,4.0,0.0,4.874999999999999,4.2437499999999995,356.5625,56,front,2.735217428785397,1.0,-2.243878131162404,0.5,-7.181378131162404,0.05
624_x5.000_y4.000_h0.0,624,5.0,4.0,0.0,4.874999999999999,4.2437499999999995,356.5625,57,front,-4.64591882722285,1.0,-3.161800437914252,0.5,5.300699562085754,0.05
624_x5.000_y4.000_h90.0,624,5.0,4.0,90.0,4.962500000000001,4.028124999999999,93.125,35,front,3.514107496343777,1.0,-5.847460709941373,0.25,-1.72246070994143,0.05
624_x5.000_y4.000_h90.0,624,5.0,4.0,90.0,4.962500000000001,4.028124999999999,93.125,36,front,3.4529732956879333,1.0,1.6353869512793153,0.5,-8.139613048720662,0.05
624_x5.000_y4.000_h90.0,624,5.0,4.0,90.0,4.962500000000001,4.028124999999999,93.125,48,rear,8.180607854272193,0.5,2.217257614710803,0.2,-9.057742385289203,0.01
624_x5.000_y4.000_h90.0,624,5.0,4.0,90.0,4.962500000000001,4.028124999999999,93.125,49,rear,0.955844341864065,0.5,1.3257364702513428,0.2,4.85073647025132,0.01
624_x5.000_y4.000_h90.0,624,5.0,4.0,90.0,4.962500000000001,4.028124999999999,93.125,50,rear,17.13032492578419,0.25,-0.05477064421944533,0.2,19.070229355780555,0.0025
624_x5.000_y4.000_h180.0,624,5.0,4.0,180.0,4.968750000000001,3.965625,176.875,38,front,-0.7643754102858669,1.0,-0.007275068051370681,0.5,-1.1322750680513423,0.05
624_x5.000_y4.000_h180.0,624,5.0,4.0,180.0,4.968750000000001,3.965625,176.875,40,front,-4.216293132909188,1.0,-1.5158757001544245,0.5,-25.24087570015442,0.0
624_x5.000_y4.000_h180.0,624,5.0,4.0,180.0,4.968750000000001,3.965625,176.875,41,front,7.646605871679668,1.0,-1.9379723373960474,0.5,2.037027662603947,0.05
624_x5.000_y4.000_h180.0,624,5.0,4.0,180.0,4.968750000000001,3.965625,176.875,42,front,1.0342430770689859,1.0,0.6831172468761508,0.5,41.358117246876134,0.0
624_x5.000_y4.000_h180.0,624,5.0,4.0,180.0,4.968750000000001,3.965625,176.875,43,front,-4.32392308075098,1.0,6.142692225125188,0.25,-7.482307774874812,0.05
624_x5.000_y4.000_h270.0,624,5.0,4.0,270.0,5.021875000000001,3.9562500000000003,266.875,46,front,-1.4967495079647009,1.0,0.8705265992144859,0.5,1.0455265992144973,0.05
624_x5.000_y4.000_h270.0,624,5.0,4.0,270.0,5.021875000000001,3.9562500000000003,266.875,47,front,1.3336386525531374,1.0,0.029175728517827793,0.5,-2.595824271482172,0.05
624_x5.000_y4.000_h270.0,624,5.0,4.0,270.0,5.021875000000001,3.9562500000000003,266.875,48,front,1.5758306610502704,1.0,-1.399740586231502,0.5,-14.22474058623149,0.0125
624_x5.000_y4.000_h270.0,624,5.0,4.0,270.0,5.021875000000001,3.9562500000000003,266.875,49,front,-1.6701327362409923,1.0,-1.3045187667730431,0.5,13.870481233226968,0.0125
624_x5.000_y4.000_h270.0,624,5.0,4.0,270.0,5.021875000000001,3.9562500000000003,266.875,50,front,0.05780322288262418,1.0,1.9539305885741385,0.5,46.82893058857414,0.0
