group_key,dataset,gt_x,gt_y,gt_h,est_x,est_y,est_h,pos_err_cm,heading_err_deg,confidence,ok_for_true_location_update,ok_for_correction_motion,reason,distance_items,angle_items,yaw_items,distance_tag_count,angle_tag_count,yaw_tag_count,distance_bearing_span_deg,angle_bearing_span_deg,distance_rms_cm,distance_max_abs_cm,angle_rms_deg,angle_max_abs_deg,yaw_rms_deg,yaw_max_abs_deg,filter_enabled,filter_disabled,distance_disabled,angle_disabled,yaw_disabled
624_x4.000_y4.000_h90.0,624,4.0,4.0,90.0,3.9312500000000004,4.003125,86.875,6.882098607982852,3.125,MARGINAL,True,False,marginal_but_usable_for_true_location_not_correction,3,3,3,3,3,3,174.65220459237537,174.65220459237537,12.213724055303073,20.999608405637993,3.938831804673608,6.717224624772399,11.901255112838458,19.392224624772382,9,0,0,0,0
624_x4.000_y4.000_h180.0,624,4.0,4.0,180.0,3.9718750000000003,3.95,174.375,5.73673742208929,5.625,GOOD,True,True,good_distance_angle_geometry_yaw_coherent,4,4,3,4,4,3,66.53026310914845,66.53026310914845,2.2593157744469665,3.1319924765541796,2.362212828998581,4.105560904814752,9.252343468138049,11.219439095185237,11,1,0,0,1
624_x4.000_y4.000_h270.0,624,4.0,4.0,270.0,3.9812499999999997,3.9531249999999996,268.75,5.048592006688649,1.25,MARGINAL,True,False,marginal_but_usable_for_true_location_not_correction,3,3,2,3,3,2,40.32358502011675,40.32358502011675,0.13336983932169524,0.16656392126330744,1.109238529505291,1.407360856002299,4.941749208516338,5.54263914399769,8,1,0,0,1
624_x5.000_y3.000_h0.0,624,5.0,3.0,0.0,4.90625,3.290625000000001,355.3125,30.537182765441944,4.6875,MARGINAL,True,False,marginal_but_usable_for_true_location_not_correction,4,4,5,4,4,5,190.42147011293463,45.59007591741329,8.369552727744878,16.517929472271,3.031591882856178,5.198557190657709,11.446517516264517,19.378974130973575,13,2,1,1,0
624_x5.000_y3.000_h90.0,624,5.0,3.0,90.0,4.9593750000000005,3.0250000000000004,89.84375,4.77010547577302,0.15625,GOOD,True,True,good_distance_angle_geometry_yaw_coherent,6,6,6,6,6,6,220.92862614635544,220.92862614635544,2.7014764772222075,5.20430124782969,3.8307913474142294,5.499896027951536,7.156440290524162,11.256353972048487,18,0,0,0,0
624_x5.000_y3.000_h180.0,624,5.0,3.0,180.0,4.956250000000001,2.9562500000000003,175.625,6.187184335382222,4.375,GOOD,True,True,good_distance_angle_geometry_yaw_coherent,6,6,5,6,6,5,74.98025006060186,74.98025006060186,3.27210125303842,4.9430009120992935,3.073491651467011,7.012439350014631,12.068066871199678,22.099101347354264,17,1,0,0,1
624_x5.000_y3.000_h270.0,624,5.0,3.0,270.0,4.9375,3.0093750000000004,268.75,6.319921380048969,1.25,GOOD,True,True,good_distance_angle_geometry_yaw_coherent,6,6,5,6,6,5,204.3914823815669,204.3914823815669,1.8972945131278618,2.7724047502201365,2.0880433856545637,4.20224322416027,12.4877697478028,18.594286780928172,17,1,0,0,1
624_x5.000_y4.000_h0.0,624,5.0,4.0,0.0,4.874999999999999,4.2437499999999995,356.5625,27.3932587510139,3.4375,MARGINAL,True,False,marginal_but_usable_for_true_location_not_correction,5,5,5,5,5,5,198.61518957983563,198.61518957983563,8.909789540219371,18.863227056125975,5.93134480266009,11.885279635415628,6.592436612534175,9.452220364584377,15,0,0,0,0
624_x5.000_y4.000_h90.0,624,5.0,4.0,90.0,4.962500000000001,4.028124999999999,93.125,4.687499999999858,3.125,MARGINAL,True,False,marginal_but_usable_for_true_location_not_correction,5,5,5,5,5,5,217.26047900770737,217.26047900770737,8.781298211663126,17.13032492578419,2.951070842143186,5.847460709941373,10.377534973049821,19.070229355780555,15,0,0,0,0
624_x5.000_y4.000_h180.0,624,5.0,4.0,180.0,4.968750000000001,3.965625,176.875,4.64564648353696,3.125,GOOD,True,True,good_distance_angle_geometry_yaw_coherent,5,5,3,5,5,3,58.63515202906359,58.63515202906359,4.3954055207224965,7.646605871679668,2.97499532070352,6.142692225125188,4.524616306601641,7.482307774874812,13,2,0,0,2
624_x5.000_y4.000_h270.0,624,5.0,4.0,270.0,5.021875000000001,3.9562500000000003,266.875,4.8913987007808295,3.125,GOOD,True,True,good_distance_angle_geometry_yaw_coherent,5,5,4,5,5,4,52.51780711720585,52.51780711720585,1.3634352193428112,1.6701327362409923,1.2835540853152183,1.9539305885741385,10.03201031579618,14.22474058623149,14,1,0,0,1
625_x6.000_y2.000_h0.0,625,6.0,2.0,0.0,5.859375,1.9406250000000003,356.40625,15.264593427274756,3.59375,GOOD,True,True,good_distance_angle_geometry_yaw_coherent,4,4,2,4,4,2,65.95763684503129,65.95763684503129,3.1722344992921916,5.204274246773277,2.0996030506507672,2.671855739249537,5.998824673143422,6.854614181831835,10,2,0,0,2
625_x6.000_y2.000_h90.0,625,6.0,2.0,90.0,5.946875,2.0343750000000003,89.375,6.327642728536419,0.625,GOOD,True,True,good_distance_angle_geometry_yaw_coherent,8,8,7,8,8,7,231.0743544040439,231.0743544040439,3.1123910949709384,5.92977262506158,5.807319263751594,10.543185721627651,11.526861300145244,19.89323268693576,23,1,0,0,1
