source_row,dataset,gt_x,gt_y,gt_h,tag_id,camera_role,ok,reason,tag_x_m,tag_y_m,tag_yaw_deg,tag_room,tag_facing,camera_x_m,camera_y_m,camera_heading_deg,bearing_world_deg,pred_distance_m,pred_angle_deg,pred_yaw_deg,meas_distance_m,meas_angle_deg,meas_yaw_deg,meas_distance_residual_m,meas_distance_residual_cm,meas_angle_residual_deg,meas_yaw_residual_deg,true_distance_m,true_angle_deg,true_yaw_deg,true_distance_delta_m,true_distance_delta_cm,true_angle_delta_deg,true_yaw_delta_deg,worst_score
262,625,9.0,3.0,0.0,56,front,True,,10.1,2.75,180.0,inner,left,9.055,3.0,0.0,346.54574781929654,1.0744882502847575,13.454252180703463,13.454252180703406,1.3536,7.705,8.52,0.27911174971524244,27.911174971524243,-5.749252180703451,-4.934252180703396,1.1021,18.517,18.517,0.027611749715242606,2.7611749715242606,5.062747819296533,5.06274781929659,7.992077605943005
210,625,7.0,4.0,90.0,52,rear,True,,8.57,0.29,90.0,inner,up,7.0,3.925,270.0,293.36009369256266,3.9595612130638917,-23.360093692562657,-23.360093692562657,4.153,-17.404,-2.342,0.19343878693610783,19.343878693610783,5.956093692562661,21.018093692562672,3.9779,-23.246,-23.246,0.018338786936108242,1.8338786936108242,0.11409369256264768,0.11409369256264768,7.955949672165977
240,625,8.0,3.0,180.0,56,rear,True,,10.1,2.75,180.0,inner,left,8.075,3.0,0.0,352.9620592368153,2.0403737402740707,7.037940763184679,7.037940763184679,2.2404,15.856,-2.342,0.20002625972592947,20.002625972592945,8.818059236815316,-9.379940763184692,2.0747,9.712,9.712,0.03432625972592929,3.4326259725929287,2.67405923681531,2.67405923681531,7.877872349775497
277,625,9.0,4.0,0.0,56,front,True,,10.1,2.75,180.0,inner,left,9.055,4.0,0.0,309.8956233238321,1.629271309512323,50.104376676167874,50.10437667616793,1.8428,40.745,46.339,0.21352869048767698,21.352869048767698,-9.35937667616787,-3.765376676167932,1.7072,52.257,52.257,0.07792869048767703,7.792869048767703,2.152623323832131,2.152623323832074,7.766903702759622
261,625,9.0,3.0,0.0,55,front,True,,10.1,1.73,180.0,inner,left,9.055,3.0,0.0,309.4487316141207,1.6446656195105436,50.551268385879325,50.551268385879325,1.8567,41.577,46.439,0.21203438048945644,21.203438048945642,-8.974268385879327,-4.112268385879332,1.7231,52.665,52.665,0.0784343804894565,7.84343804894565,2.113731614120667,2.113731614120667,7.643337243670172
87,624,4.0,4.0,90.0,49,rear,True,,5.45,0.1,90.0,inner,up,4.0,3.925,270.0,290.7609648734209,4.090614257052356,-20.760964873420903,-20.760964873420903,4.33,-18.1,-2.3,0.23938574294764425,23.938574294764425,2.660964873420909,18.46096487342089,4.109,-20.7,-20.7,0.018385742947644168,1.8385742947644168,0.0609648734209145,0.0609648734209145,7.520799637435276
280,625,9.0,4.0,90.0,58,front,True,,9.31,4.69,180.0,inner,left,9.0,4.055,90.0,63.97887975571343,0.7066293229126578,26.02112024428658,-63.97887975571342,0.8841,35.42,-55.98,0.1774706770873422,17.74706770873422,9.398879755713438,7.998879755713432,0.7066,26.021,-63.979,-2.9322912657780975e-05,-0.0029322912657780975,-0.0001202442865633202,-0.0001202442865633202,7.482261435889333
271,625,9.0,3.0,180.0,56,rear,True,,10.1,2.75,180.0,inner,left,9.075,3.0,0.0,346.2930389959202,1.05504739230046,13.706961004079801,13.706961004079858,1.1911,23.11,-2.342,0.13605260769954008,13.605260769954008,9.403038995920213,-16.048961004079842,1.1021,18.517,18.517,0.04705260769954012,4.705260769954012,4.810038995920195,4.810038995920138,7.46029458637219
250,625,8.0,4.0,0.0,57,front,True,,10.1,3.77,180.0,inner,left,8.055,4.0,0.0,353.5829424838463,2.0578933402875865,6.4170575161537045,6.4170575161537045,2.3066,0.458,1.854,0.24870665971241346,24.870665971241344,-5.959057516153706,-4.563057516153691,2.0715,9.167,9.167,0.013606659712413371,1.3606659712413371,2.749942483846297,2.749942483846297,7.416791451248208
58,624,3.0,4.0,270.0,48,front,True,,4.51,0.1,90.0,inner,up,3.0,3.945,270.0,291.4408204448448,4.130874604729608,-21.440820444844803,-21.440820444844803,4.049,-23.6,28.9,-0.08187460472960773,-8.187460472960773,-2.159179555155191,50.34082044484481,4.131,-21.4,-21.4,0.00012539527039212572,0.012539527039212572,0.04082044484479752,0.04082044484479752,7.391300657461699
