source_row,dataset,gt_x,gt_y,gt_h,tag_id,camera_role,ok,reason,tag_x_m,tag_y_m,tag_yaw_deg,tag_room,tag_facing,camera_x_m,camera_y_m,camera_heading_deg,bearing_world_deg,pred_distance_m,pred_angle_deg,pred_yaw_deg,meas_distance_m,meas_angle_deg,meas_yaw_deg,meas_distance_residual_m,meas_distance_residual_cm,meas_angle_residual_deg,meas_yaw_residual_deg,true_distance_m,true_angle_deg,true_yaw_deg,true_distance_delta_m,true_distance_delta_cm,true_angle_delta_deg,true_yaw_delta_deg
23,624,2.0,4.0,270.0,47,front,True,,3.56,0.1,90.0,inner,up,2.0,3.945,270.0,292.08346295850885,4.149412609032753,-22.083462958508846,-22.083462958508846,4.121,-22.6,-30.5,-0.028412609032752556,-2.8412609032752556,-0.5165370414911479,-8.416537041491154,4.149,-22.1,-22.1,-0.0004126090327529752,-0.04126090327529752,-0.016537041491147875,-0.016537041491147875
24,624,3.0,3.0,0.0,41,rear,True,,1.2,3.7,0.0,inner,right,2.925,3.0,180.0,157.91282839677166,1.8616189191131465,22.08717160322834,22.08717160322834,1.798,26.2,-2.3,-0.06361891911314643,-6.361891911314643,4.112828396771647,-24.387171603228353,1.845,19.0,19.0,-0.016618919113146502,-1.6618919113146502,-3.0871716032283416,-3.0871716032283416
25,624,3.0,3.0,0.0,42,rear,True,,1.22,2.75,0.0,inner,right,2.925,3.0,180.0,188.3416984441485,1.723230976973197,-8.341698444148506,-8.341698444148506,1.691,-6.3,-2.3,-0.03223097697319699,-3.223097697319699,2.041698444148494,6.041698444148494,1.76,-11.5,-11.5,0.03676902302680296,3.676902302680296,-3.1583015558514944,-3.1583015558514944
26,624,3.0,3.0,0.0,55,front,True,,10.1,1.73,180.0,inner,left,3.055,3.0,0.0,349.7810595522181,7.158556069487757,10.218940447781904,10.21894044778196,7.295,8.0,-6.6,0.13644393051224313,13.644393051224313,-2.218940447781904,-16.818940447781955,7.177,11.0,11.0,0.0184439305122428,1.84439305122428,0.7810595522180961,0.7810595522180392
27,624,3.0,3.0,90.0,36,front,True,,4.54,4.74,270.0,inner,down,3.0,3.055,90.0,47.574355547728686,2.2827231544801925,42.425644452271314,42.425644452271285,2.316,42.3,45.9,0.03327684551980736,3.3276845519807363,-0.12564445227133092,3.4743555477287202,2.283,42.4,42.4,0.0002768455198074449,0.027684551980744487,-0.025644452271308182,-0.02564445227127976
28,624,3.0,3.0,90.0,37,front,True,,3.59,5.2,270.0,inner,down,3.0,3.055,90.0,74.62064463483094,2.224662895811408,15.379355365169062,15.37935536516909,2.226,15.4,14.9,0.0013371041885918977,0.13371041885918977,0.020644634830944142,-0.4793553651690843,2.225,15.4,15.4,0.00033710418859200786,0.033710418859200786,0.020644634830944142,0.02064463483091572
29,624,3.0,3.0,90.0,38,front,True,,2.63,5.2,270.0,inner,down,3.0,3.055,90.0,99.7868794211131,2.1766775140107457,-9.786879421113099,-9.786879421113099,2.156,-11.1,-14.0,-0.02067751401074558,-2.067751401074558,-1.3131205788868954,-4.213120578886901,2.177,-9.8,-9.8,0.0003224859892543286,0.03224859892543286,-0.013120578886912426,-0.013120578886912426
30,624,3.0,3.0,90.0,39,front,True,,1.67,5.2,270.0,inner,down,3.0,3.055,90.0,121.80084223497234,2.5238710347400874,-31.800842234972322,-31.800842234972322,2.5,-26.7,-39.0,-0.02387103474008745,-2.387103474008745,5.100842234972333,-7.199157765027678,2.524,-31.8,-31.8,0.00012896525991257235,0.012896525991257235,0.0008422349723105071,0.0008422349723105071
31,624,3.0,3.0,90.0,46,rear,True,,2.62,0.1,90.0,inner,up,3.0,2.925,270.0,262.3389421723247,2.850442948034568,7.661057827675279,7.661057827675279,2.848,12.8,-2.3,-0.0024429480345680155,-0.24429480345680155,5.138942172324732,-9.96105782767529,2.87,7.6,7.6,0.019557051965432226,1.9557051965432226,-0.06105782767528467,-0.06105782767528467
32,624,3.0,3.0,180.0,40,front,True,,1.2,4.7,0.0,inner,right,2.945,3.0,180.0,135.74837836005614,2.436190673982642,44.25162163994386,44.25162163994386,2.425,41.8,-52.4,-0.011190673982642174,-1.1190673982642174,-2.4516216399438804,-96.65162163994387,2.367,42.5,42.5,-0.069190673982642,-6.9190673982642,-1.7516216399438633,-1.7516216399438633
