dataset,source_file,gt_x,gt_y,gt_h,tag_id,camera_role,true_distance_m,meas_distance_m,distance_error_cm,true_angle_deg,meas_angle_deg,angle_error_deg,true_yaw_deg,meas_yaw_deg,yaw_error_deg,single_ok,single_x,single_y,single_h,single_pos_err_cm,single_heading_err_deg,score,flag
624,measure11-0624(1).txt,4,3,0,41,rear,2.81,2.882,7.2,12.3,22.1,9.8,12.3,-2.3,-14.7,TRUE,4.1293,3.737,24.4,74.82,24.4,7.64,ANGLE|YAW|LOW_YAW
624,measure11-0624(1).txt,4,3,0,42,rear,2.747,2.743,-0.5,-7.3,1.8,9.1,-7.3,-2.3,5,TRUE,4.0159,2.765,4.1,23.56,4.1,4.14,ANGLE|LOW_YAW
624,measure11-0624(1).txt,4,3,0,57,front,6.082,5.773,-30.9,-6.3,-9.6,-3.3,-6.3,16.1,22.4,TRUE,4.5041,5.2922,334.3,234.7,25.7,11.76,DIST|YAW|FAR
624,measure11-0624(1).txt,4,3,90,35,front,2.617,2.594,-2.4,35,35,0,35,37.3,2.3,TRUE,3.9269,3.0803,87.7,10.86,2.3,0.95,EDGE
624,measure11-0624(1).txt,4,3,90,36,front,1.769,1.759,-1.1,17.8,16.8,-1,17.8,15.1,-2.7,TRUE,4.0842,2.9861,91.7,8.53,1.7,1.07,OK
624,measure11-0624(1).txt,4,3,90,37,front,2.184,2.166,-1.8,-10.8,-13,-2.2,-10.8,-11.1,-0.3,TRUE,4.0059,3.0199,88.1,2.07,1.9,1.17,OK
624,measure11-0624(1).txt,4,3,90,38,front,2.545,2.495,-5,-32.6,-27.8,4.7,-32.6,-42.5,-10,TRUE,4.3284,3.3063,104.7,44.91,14.7,4.57,OK
624,measure11-0624(1).txt,4,3,90,48,rear,2.89,2.925,3.4,-10.2,-3.1,7.1,-10.2,-2.3,7.8,TRUE,4.3952,3.0783,89.2,40.28,0.8,4.61,LOW_YAW
624,measure11-0624(1).txt,4,3,180,39,front,3.165,3.098,-6.6,44,41,-3.1,-46,48.7,94.6,TRUE,-0.6665,3.0994,82.3,466.76,97.7,21.27,YAW|EDGE|FAR
624,measure11-0624(1).txt,4,3,180,40,front,3.177,3.174,-0.3,30.2,29.3,-0.9,30.2,-37.5,-67.7,TRUE,3.739,6.5809,246.8,359.04,66.8,13.91,YAW|FAR
624,measure11-0624(1).txt,4,3,180,41,front,2.81,2.823,1.3,12.3,10,-2.4,12.3,-15.2,-27.5,TRUE,3.9735,4.3622,205.2,136.25,25.2,6.54,YAW
624,measure11-0624(1).txt,4,3,180,42,front,2.747,2.707,-4,-7.3,-10.5,-3.2,-7.3,-2.1,5.3,TRUE,3.9799,2.7421,171.6,25.87,8.4,2.93,LOW_YAW
624,measure11-0624(1).txt,4,3,180,43,front,3.05,2.956,-9.4,-26.7,-25.1,1.6,-26.7,31.6,58.3,TRUE,3.7681,0.0347,123.3,297.43,56.7,14.1,YAW
624,measure11-0624(1).txt,4,3,180,44,front,3.625,3.468,-15.7,-41.3,-31.9,9.4,-41.3,-51.9,-10.7,TRUE,3.4132,3.3554,200,68.6,20,8.4,DIST|ANGLE|EDGE|FA
624,measure11-0624(1).txt,4,3,270,36,rear,1.769,1.722,-4.7,17.8,24.5,6.7,17.8,-2.3,-20.1,TRUE,4.6347,2.9696,296.8,63.54,26.8,7.2,YAW|LOW_YAW
624,measure11-0624(1).txt,4,3,270,37,rear,2.184,2.169,-1.5,-10.8,-6,4.9,-10.8,-2.3,8.5,TRUE,3.6743,2.9782,266.3,32.65,3.7,3.61,LOW_YAW
624,measure11-0624(1).txt,4,3,270,45,front,3.677,3.643,-3.4,39.3,38,-1.3,39.3,42.1,2.8,TRUE,4.1174,2.8575,265.9,18.46,4.1,1.68,EDGE|FAR
624,measure11-0624(1).txt,4,3,270,46,front,3.162,3.142,-2,25.9,24.5,-1.4,25.9,25.8,-0.1,TRUE,3.9876,2.9844,268.7,2,1.3,0.87,FAR
624,measure11-0624(1).txt,4,3,270,48,front,2.89,2.828,-6.2,-10.2,-13.7,-3.5,-10.2,-17.8,-7.7,TRUE,3.6433,2.8482,274.1,38.76,4.1,3.96,OK
624,measure11-0624(1).txt,4,3,270,49,front,3.193,3.189,-0.4,-27,-25.5,1.5,-27,-35,-8,TRUE,3.6114,2.7665,279.5,45.34,9.5,2.16,FAR
624,measure11-0624(1).txt,4,3,270,50,front,3.579,3.557,-2.2,-42.1,-32.2,9.9,-42.1,-54.9,-12.8,TRUE,3.4681,2.3855,292.7,81.27,22.7,6.3,ANGLE|YAW|EDGE|FAR
624,measure11-0624(1).txt,4,4,0,40,rear,2.81,2.804,-0.6,12.3,19.9,7.5,12.3,-2.3,-14.7,TRUE,4.0522,4.7319,22.2,73.38,22.2,5.56,YAW|LOW_YAW
624,measure11-0624(1).txt,4,4,0,41,rear,2.774,2.743,-3.1,-8.3,-2.1,6.2,-8.3,-2.3,5.9,TRUE,3.9958,3.7098,0.2,29.02,0.2,3.88,LOW_YAW
624,measure11-0624(1).txt,4,4,0,55,front,6.493,6.609,11.6,21.4,18.8,-2.6,21.4,19.8,-1.6,TRUE,3.8271,3.8705,359,21.6,1,3.49,FAR
624,measure11-0624(1).txt,4,4,90,36,front,0.872,0.916,4.3,38.2,37.3,-1,38.2,40.1,1.9,TRUE,3.9465,3.9847,87.2,5.56,2.8,1.56,EDGE
624,measure11-0624(1).txt,4,4,90,37,front,1.216,1.218,0.2,-19.7,-19.8,-0.1,-19.7,-23.6,-3.9,TRUE,4.0814,4.0288,93.8,8.63,3.8,0.85,OK
624,measure11-0624(1).txt,4,4,90,49,rear,4.109,4.33,22.1,-20.7,-18.1,2.6,-20.7,-2.3,18.3,TRUE,5.2936,4.4807,74.2,138.01,15.8,8.95,DIST|YAW|LOW_YAW|F
624,measure11-0624(1).txt,4,4,180,38,front,1.78,1.803,2.2,42.4,37.3,-5.1,-47.6,-53.7,-6.1,TRUE,4.1386,4.1338,181,19.27,1,3.36,EDGE
624,measure11-0624(1).txt,4,4,180,40,front,2.81,2.786,-2.4,12.3,8.3,-4.1,12.3,-18.6,-30.9,TRUE,3.889,5.5121,206.9,151.62,26.9,8.01,YAW
624,measure11-0624(1).txt,4,4,180,41,front,2.774,2.757,-1.7,-8.3,-12.5,-4.2,-8.3,-13.8,-5.5,TRUE,3.9325,4.2584,181.3,26.71,1.3,2.84,OK
624,measure11-0624(1).txt,4,4,180,42,front,3.041,2.943,-9.8,-26.4,-25.6,0.7,-26.4,-35.3,-8.9,TRUE,3.6772,4.3578,189.7,48.18,9.7,4,OK
624,measure11-0624(1).txt,4,4,270,46,front,4.085,4.033,-5.2,19.7,18.4,-1.3,19.7,-25.9,-45.7,TRUE,0.8229,3.7664,314.3,318.56,44.3,10.62,YAW|FAR
624,measure11-0624(1).txt,4,4,270,48,front,3.879,3.834,-4.5,-7.6,-10.5,-3,-7.6,-12.2,-4.6,TRUE,3.7012,3.9025,271.7,31.43,1.7,2.82,FAR
624,measure11-0624(1).txt,4,4,270,49,front,4.109,4.071,-3.9,-20.7,-21,-0.4,-20.7,-26.7,-6,TRUE,3.6178,3.7929,275.7,43.47,5.7,2.1,FAR
624,measure11-0624(1).txt,5,3,0,32,front,3.979,3.916,-6.3,-33.6,-28.8,4.8,56.4,56.4,0,TRUE,5.0527,3.0303,4.8,6.07,4.8,2.86,FAR
624,measure11-0624(1).txt,5,3,0,41,rear,3.793,3.819,2.6,9.1,15.4,6.3,9.1,-7.9,-17,TRUE,5.033,4.1465,23.3,114.7,23.3,6.03,YAW|LOW_YAW|FAR
