combo_index,core_reject_threshold,core_support_threshold,yaw_support_threshold,yaw_bonus_weight,min_decision_score_gap,solver_success_rate,position_mean_error_m,position_median_error_m,position_p90_error_m,position_p95_error_m,position_max_error_m,heading_mean_abs_error_deg,heading_median_abs_error_deg,heading_p90_abs_error_deg,heading_p95_abs_error_deg,heading_max_abs_error_deg,position_within_5cm_rate,position_within_10cm_rate,heading_within_5deg_rate,heading_within_10deg_rate,joint_within_10cm_10deg_rate,samples_with_rejection,total_rejected_tags,combo_runtime_s
62,1.4,0.6,1.5,0.25,0.5,1.0,0.038194418640098315,0.035242534826912524,0.06959816249658328,0.07200329330718738,0.08420754069997671,1.2035158086871156,0.8784307628236547,2.880835021029327,3.385801035393797,4.877939540716881,0.7692307692307693,1.0,1.0,1.0,1.0,1,1,0.3908253999979934
63,1.4,0.6,2.0,0.25,0.3,1.0,0.038194418640098315,0.035242534826912524,0.06959816249658328,0.07200329330718738,0.08420754069997671,1.2035158086871156,0.8784307628236547,2.880835021029327,3.385801035393797,4.877939540716881,0.7692307692307693,1.0,1.0,1.0,1.0,1,1,0.37865120000060415
64,1.4,0.6,2.0,0.25,0.5,1.0,0.038194418640098315,0.035242534826912524,0.06959816249658328,0.07200329330718738,0.08420754069997671,1.2035158086871156,0.8784307628236547,2.880835021029327,3.385801035393797,4.877939540716881,0.7692307692307693,1.0,1.0,1.0,1.0,1,1,0.3763156999993953
65,1.4,0.6,2.5,0.25,0.3,1.0,0.038194418640098315,0.035242534826912524,0.06959816249658328,0.07200329330718738,0.08420754069997671,1.2035158086871156,0.8784307628236547,2.880835021029327,3.385801035393797,4.877939540716881,0.7692307692307693,1.0,1.0,1.0,1.0,1,1,0.3755989999990561
66,1.4,0.6,2.5,0.25,0.5,1.0,0.038194418640098315,0.035242534826912524,0.06959816249658328,0.07200329330718738,0.08420754069997671,1.2035158086871156,0.8784307628236547,2.880835021029327,3.385801035393797,4.877939540716881,0.7692307692307693,1.0,1.0,1.0,1.0,1,1,0.38079650000145193
67,1.4,0.8,1.5,0.25,0.3,1.0,0.038194418640098315,0.035242534826912524,0.06959816249658328,0.07200329330718738,0.08420754069997671,1.2035158086871156,0.8784307628236547,2.880835021029327,3.385801035393797,4.877939540716881,0.7692307692307693,1.0,1.0,1.0,1.0,1,1,0.3751239000011992
68,1.4,0.8,1.5,0.25,0.5,1.0,0.038194418640098315,0.035242534826912524,0.06959816249658328,0.07200329330718738,0.08420754069997671,1.2035158086871156,0.8784307628236547,2.880835021029327,3.385801035393797,4.877939540716881,0.7692307692307693,1.0,1.0,1.0,1.0,1,1,0.3792280000016035
69,1.4,0.8,2.0,0.25,0.3,1.0,0.038194418640098315,0.035242534826912524,0.06959816249658328,0.07200329330718738,0.08420754069997671,1.2035158086871156,0.8784307628236547,2.880835021029327,3.385801035393797,4.877939540716881,0.7692307692307693,1.0,1.0,1.0,1.0,1,1,0.3774572999973316
70,1.4,0.8,2.0,0.25,0.5,1.0,0.038194418640098315,0.035242534826912524,0.06959816249658328,0.07200329330718738,0.08420754069997671,1.2035158086871156,0.8784307628236547,2.880835021029327,3.385801035393797,4.877939540716881,0.7692307692307693,1.0,1.0,1.0,1.0,1,1,0.3761653000001388
71,1.4,0.8,2.5,0.25,0.3,1.0,0.038194418640098315,0.035242534826912524,0.06959816249658328,0.07200329330718738,0.08420754069997671,1.2035158086871156,0.8784307628236547,2.880835021029327,3.385801035393797,4.877939540716881,0.7692307692307693,1.0,1.0,1.0,1.0,1,1,0.37732020000112243
72,1.4,0.8,2.5,0.25,0.5,1.0,0.038194418640098315,0.035242534826912524,0.06959816249658328,0.07200329330718738,0.08420754069997671,1.2035158086871156,0.8784307628236547,2.880835021029327,3.385801035393797,4.877939540716881,0.7692307692307693,1.0,1.0,1.0,1.0,1,1,0.3768238000011479
