sample_index,gt_x_m,gt_y_m,gt_heading_deg,preferred_heading_deg,tag_id,camera_role,used,meas_distance_m,true_distance_m,distance_error_m,meas_angle_deg,true_angle_deg,angle_error_deg,meas_yaw_deg,true_yaw_deg,yaw_error_deg,yaw_quant_true_angle_deg,yaw_quant_meas_yaw_deg,yaw_quant_true_yaw_deg,yaw_err_keep_deg,yaw_err_flip_deg,yaw_best_mode,yaw_best_err_deg,yaw_flip_gain_deg,yaw_branch_separation_deg,yaw_quantized_deg,yaw_decision
10,4.0,3.0,250.0,250.0,45,front,A,3.588,3.664,-0.076,22.7,19.0,3.8,-42.2,39.0,-81.2,19.0,-42.2,39.0,-81.2,3.2,flip,3.2,78.0,78.0,39.0,accept_flip_quantized
10,4.0,3.0,250.0,250.0,46,front,A,3.143,3.154,-0.011,7.6,5.4,2.2,20.2,25.4,-5.2,5.4,20.2,25.4,-5.2,-45.7,keep,-5.2,-40.5,40.5,25.4,accept_keep_quantized
10,4.0,3.0,250.0,250.0,48,front,A,2.875,2.899,-0.024,-24.9,-30.7,5.9,22.1,-10.7,32.8,-30.7,22.1,-10.7,32.8,-11.3,flip,-11.3,21.4,21.4,,reject_edge
10,4.0,3.0,250.0,250.0,35,rear,A,2.629,2.579,0.05,16.5,14.7,1.8,30.4,34.7,-4.2,14.7,30.4,34.7,-4.2,-65.1,keep,-4.2,-60.8,60.8,,reject_edge
11,4.0,4.0,220.0,220.0,41,front,A,2.734,2.771,-0.037,36.0,34.4,1.5,-29.8,-5.6,-24.3,34.4,-29.8,-5.6,-24.3,35.4,keep,-24.3,-11.2,11.2,,reject_edge
11,4.0,4.0,220.0,220.0,42,front,A,2.995,2.998,-0.003,16.7,16.1,0.6,-27.1,-23.9,-3.2,16.1,-27.1,-23.9,-3.2,51.0,keep,-3.2,-47.8,47.8,-23.9,accept_keep_quantized
11,4.0,4.0,220.0,220.0,43,front,A,3.543,3.532,0.011,-0.1,0.9,-1.0,-39.1,-39.1,-0.0,0.9,-39.1,-39.1,-0.0,78.2,keep,-0.0,-78.2,78.2,-39.1,accept_keep_quantized
11,4.0,4.0,220.0,220.0,45,front,A,4.412,4.488,-0.076,-18.7,-19.4,0.7,30.6,30.6,0.0,-19.4,30.6,30.6,0.0,-61.2,keep,0.0,-61.1,61.1,30.6,accept_keep_quantized
11,4.0,4.0,220.0,220.0,46,front,A,3.995,4.087,-0.093,-26.2,-31.0,4.8,29.4,19.0,10.4,-31.0,29.4,19.0,10.4,-48.4,keep,10.4,-38.0,38.0,,reject_edge
11,4.0,4.0,220.0,220.0,35,rear,A,1.828,1.835,-0.006,0.8,1.4,-0.6,50.5,51.4,-0.9,1.4,50.5,51.4,-0.9,-102.0,keep,-0.9,-101.1,101.1,51.4,accept_keep_quantized
11,4.0,4.0,220.0,220.0,36,rear,A,0.78,0.828,-0.049,-16.2,-14.5,-1.6,25.7,35.5,-9.8,-14.5,25.7,35.5,-9.8,-61.2,keep,-9.8,-51.4,51.4,,reject_edge
12,5.0,1.0,115.0,115.0,35,front,A,4.107,4.174,-0.067,35.0,32.1,2.9,23.9,7.1,16.8,32.1,23.9,7.1,16.8,-30.9,keep,16.8,-14.2,14.2,,reject_edge
12,5.0,1.0,115.0,115.0,36,front,A,3.664,3.699,-0.035,20.6,18.2,2.4,-20.0,-6.8,-13.1,18.2,-20.0,-6.8,-13.1,26.8,keep,-13.1,-13.6,13.6,,weak_small_true_yaw
12,5.0,1.0,115.0,115.0,37,front,A,4.433,4.366,0.067,7.6,6.6,1.0,-15.1,-18.4,3.3,6.6,-15.1,-18.4,3.3,33.5,keep,3.3,-30.3,30.3,-18.4,accept_keep_quantized
12,5.0,1.0,115.0,115.0,38,front,A,4.735,4.759,-0.024,-4.4,-4.5,0.1,24.9,-29.5,54.4,-4.5,24.9,-29.5,54.4,4.6,flip,4.6,49.9,49.9,-29.5,accept_flip_quantized
12,5.0,1.0,115.0,115.0,40,front,A,5.113,5.254,-0.142,-19.0,-21.0,1.9,42.7,44.0,-1.3,-21.0,42.7,44.0,-1.3,-86.8,keep,-1.3,-85.5,85.5,44.0,accept_keep_quantized
12,5.0,1.0,115.0,115.0,41,front,A,4.613,4.611,0.002,-25.0,-30.0,5.0,36.2,35.0,1.2,-30.0,36.2,35.0,1.2,-71.2,keep,1.2,-70.0,70.0,35.0,accept_keep_quantized
12,5.0,1.0,115.0,115.0,42,front,A,4.085,4.126,-0.042,-30.4,-40.7,10.3,37.9,24.3,13.5,-40.7,37.9,24.3,13.5,-62.2,keep,13.5,-48.7,48.7,,reject_edge
