sample_uid,observation_uid,tag_id,camera_role,component_pattern,distance_use,distance_use_reason,angle_use,angle_use_reason,yaw_use,yaw_use_reason
repeat10_s001,repeat10_s001_o004,39,front,DA,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,False,reject_small_predicted_yaw
repeat10_s001,repeat10_s001_o005,45,rear,DAY,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,True,accept_keep
repeat10_s002,repeat10_s002_o006,45,front,DA,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,False,reject_small_predicted_yaw
repeat10_s002,repeat10_s002_o007,46,front,DAY,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,True,accept_flip
repeat10_s002,repeat10_s002_o008,47,front,DAY,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,True,accept_keep
repeat10_s002,repeat10_s002_o009,48,front,DAY,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,True,accept_keep
repeat10_s002,repeat10_s002_o010,39,rear,AY,False,rejected_m2_abs_ge_0p95,True,kept_no_second_screen,True,accept_keep
repeat10_s003,repeat10_s003_o012,45,front,DAY,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,True,accept_flip
repeat10_s003,repeat10_s003_o013,46,front,DAY,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,True,accept_keep
repeat10_s003,repeat10_s003_o014,48,front,DA,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,False,reject_poor_keep_flip_match
repeat10_s003,repeat10_s003_o015,35,rear,DAY,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,True,accept_flip
repeat10_s004,repeat10_s004_o017,42,front,AY,False,rejected_m2_abs_ge_0p95,True,kept_no_second_screen,True,accept_keep
repeat10_s004,repeat10_s004_o018,43,front,DAY,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,True,accept_flip
repeat10_s004,repeat10_s004_o019,45,front,DAY,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,True,accept_keep
repeat10_s004,repeat10_s004_o020,46,front,DA,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,False,reject_poor_keep_flip_match
repeat10_s004,repeat10_s004_o021,35,rear,DAY,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,True,accept_keep
repeat10_s004,repeat10_s004_o022,36,rear,DAY,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,True,accept_keep
repeat10_s005,repeat10_s005_o024,36,front,A,False,rejected_m2_abs_ge_0p95,True,kept_no_second_screen,False,reject_small_predicted_yaw
repeat10_s005,repeat10_s005_o025,37,front,DAY,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,True,accept_flip
repeat10_s005,repeat10_s005_o026,38,front,DAY,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,True,accept_keep
repeat10_s005,repeat10_s005_o027,39,front,AY,False,rejected_m2_abs_ge_0p95,True,kept_no_second_screen,True,accept_keep
repeat10_s005,repeat10_s005_o028,40,front,AY,False,rejected_m2_abs_ge_0p95,True,kept_no_second_screen,True,accept_keep
repeat10_s005,repeat10_s005_o029,41,front,DAY,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,True,accept_flip
repeat10_s005,repeat10_s005_o031,49,rear,AY,False,rejected_m2_abs_ge_0p95,True,kept_no_second_screen,True,accept_keep
repeat10_s006,repeat10_s006_o033,36,front,DA,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,False,reject_small_predicted_yaw
repeat10_s006,repeat10_s006_o034,37,front,DAY,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,True,accept_keep
repeat10_s006,repeat10_s006_o035,38,front,AY,False,rejected_m2_abs_ge_0p95,True,kept_no_second_screen,True,accept_keep
repeat10_s006,repeat10_s006_o036,39,front,DAY,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,True,accept_keep
repeat10_s006,repeat10_s006_o037,40,front,AY,False,rejected_m2_abs_ge_0p95,True,kept_no_second_screen,True,accept_flip
repeat10_s006,repeat10_s006_o039,49,rear,DA,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,False,reject_ambiguous_low_separation
repeat10_s006,repeat10_s006_o040,50,rear,DAY,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,True,accept_keep
repeat10_s007,repeat10_s007_o041,32,front,AY,False,rejected_m2_abs_ge_0p95,True,kept_no_second_screen,True,accept_keep
repeat10_s007,repeat10_s007_o042,33,front,AY,False,rejected_m2_abs_ge_0p95,True,kept_no_second_screen,True,accept_keep
repeat10_s007,repeat10_s007_o043,34,front,DA,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,False,reject_small_predicted_yaw
repeat10_s007,repeat10_s007_o044,35,front,DA,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,False,reject_poor_keep_flip_match
repeat10_s007,repeat10_s007_o046,58,front,DAY,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,True,accept_keep
repeat10_s008,repeat10_s008_o048,47,front,DAY,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,True,accept_keep
repeat10_s008,repeat10_s008_o049,48,front,DAY,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,True,accept_keep
