sample_uid,observation_uid,tag_id,camera_role,distance_residual_m_signed,distance_residual_sigma_signed,angle_residual_deg_signed,angle_residual_sigma_signed,distance_peer_median_sigma,distance_m2_signed,distance_m2_abs
main29_s016,main29_s016_o103,34,front,-0.012363589219497761,-0.24727178438995523,0.4761782442161291,0.15872608140537636,0.042406274287634105,-0.28967805867758933,0.28967805867758933
main29_s016,main29_s016_o104,35,front,-0.0017432959507823753,-0.034865919015647506,-5.761560746706323,-1.3580128914047565,0.042406274287634105,-0.07727219330328161,0.07727219330328161
main29_s016,main29_s016_o106,48,rear,-0.01392567529854638,-0.2785135059709276,0.23492254266932378,0.05537177432502163,0.042406274287634105,-0.3209197802585617,0.3209197802585617
main29_s016,main29_s016_o107,49,rear,0.0029810991182361857,0.059621982364723713,1.3420242635801856,0.3163181524314773,-0.034865919015647506,0.09448790138037122,0.09448790138037122
main29_s017,main29_s017_o109,48,front,0.01653096659424058,0.33061933188481163,0.56129391941991,0.18709797313997,0.286652906532856,0.04396642535195561,0.04396642535195561
main29_s017,main29_s017_o110,49,front,-0.03716454933426405,-0.743290986685281,1.9501590869478491,0.6500530289826164,0.4360992699096311,-1.1793902565949121,1.1793902565949121
main29_s017,main29_s017_o111,50,front,0.0015863302565630732,0.031726605131261465,1.3906977072810207,0.4635659024270069,0.4360992699096311,-0.40437266477836964,0.40437266477836964
main29_s017,main29_s017_o112,51,front,0.061851356750080466,1.2370271350016093,-3.9763003214165735,-0.9372229737693026,0.18117296850803655,1.0558541664935728,1.0558541664935728
main29_s017,main29_s017_o113,34,rear,0.02707896039672253,0.5415792079344506,-3.5091161522466905,-0.82710660907496,0.18117296850803655,0.36040623942641403,0.36040623942641403
main29_s018,main29_s018_o114,31,front,0.024750140509762097,0.49500281019524195,-0.7300997591284215,-0.2433665863761405,-0.04847908801861145,0.5434818982138534,0.5434818982138534
main29_s018,main29_s018_o116,55,front,0.005775644363713361,0.11551288727426723,-0.564643748872129,-0.18821458295737634,-0.04847908801861145,0.16399197529287868,0.16399197529287868
main29_s018,main29_s018_o117,56,front,-0.0024239544009305725,-0.04847908801861145,1.024454427309081,0.341484809103027,0.11551288727426723,-0.16399197529287868,0.16399197529287868
main29_s018,main29_s018_o118,57,front,-0.027380673408912592,-0.5476134681782518,0.2702890843991099,0.09009636146636997,0.11551288727426723,-0.6631263554525191,0.6631263554525191
main29_s019,main29_s019_o119,32,front,0.007071025103141615,0.1414205020628323,0.9709516015742565,0.3236505338580855,-0.035088877683584485,0.17650937974641678,0.17650937974641678
main29_s019,main29_s019_o120,33,front,-0.0017544438841792243,-0.035088877683584485,-1.470476159380155,-0.490158719793385,0.1414205020628323,-0.17650937974641678,0.17650937974641678
main29_s019,main29_s019_o123,49,rear,-0.018630185196770732,-0.37260370393541464,-0.03529922783906159,-0.011766409279687196,0.1414205020628323,-0.5140242059982469,0.5140242059982469
main29_s019,main29_s019_o124,50,rear,0.0208396657884522,0.416793315769044,1.109551726711743,0.26152385001170547,-0.035088877683584485,0.4518821934526285,0.4518821934526285
main29_s020,main29_s020_o125,48,front,0.047252814347229055,0.9450562869445811,-0.8609620160179361,-0.28698733867264536,-0.4887386095085766,1.4337948964531577,1.4337948964531577
main29_s020,main29_s020_o126,49,front,-0.03605409784837166,-0.7210819569674332,0.6009067786829121,0.2003022595609707,-0.3412908872471528,-0.37979106972028037,0.37979106972028037
main29_s020,main29_s020_o127,50,front,-0.051322744952543964,-1.0264548990508793,1.5111008850040548,0.5037002950013516,-0.3412908872471528,-0.6851640118037265,0.6851640118037265
main29_s020,main29_s020_o128,51,front,0.013486957083092221,0.26973914166184443,-4.475830815378629,-1.0549634403326478,-0.4887386095085766,0.758477751170421,0.758477751170421
main29_s020,main29_s020_o129,32,rear,-0.0220302320420096,-0.3412908872471528,0.3114512854072018,0.0734097719735664,-0.4887386095085766,0.14744772226142383,0.14744772226142383
main29_s020,main29_s020_o130,33,rear,-0.02443693047542883,-0.4887386095085766,1.5409000153089778,0.36319361665181105,-0.3412908872471528,-0.14744772226142383,0.14744772226142383
main29_s021,main29_s021_o132,51,front,0.03195272104329128,0.6390544208658255,-0.20055038432798256,-0.06685012810932751,0.7615554652277812,-0.12250104436195564,0.12250104436195564
main29_s021,main29_s021_o133,53,front,-0.02179345684120637,-0.36467428358065906,2.1176939931029324,0.7058979977009775,0.7615554652277812,-1.1262297488084403,1.1262297488084403
