sample_uid,observation_uid,tag_id,camera_role,distance_use,distance_use_reason,distance_m2_signed,distance_m2_abs,angle_use,angle_use_reason,yaw_use,yaw_use_reason,yaw_mode,yaw_resolved_deg,predicted_yaw_deg
main29_s015,main29_s015_o099,49,front,True,kept_m2_abs_lt_0p95,0.08851695087769507,0.08851695087769507,True,kept_no_second_screen,False,reject_small_predicted_yaw,keep,,-6.940476413199406
main29_s015,main29_s015_o100,35,rear,True,kept_m2_abs_lt_0p95,0.6974593581061894,0.6974593581061894,True,kept_no_second_screen,True,accept_keep,keep,19.900000000000006,20.95433207109818
main29_s016,main29_s016_o101,32,front,True,kept_m2_abs_lt_0p95,0.07727219330328161,0.07727219330328161,True,kept_no_second_screen,True,accept_keep,keep,34.0,37.20833221572798
main29_s016,main29_s016_o102,33,front,True,kept_m2_abs_lt_0p95,0.212714629048687,0.212714629048687,True,kept_no_second_screen,True,accept_keep,keep,21.69999999999999,24.261294227690087
main29_s016,main29_s016_o103,34,front,True,kept_m2_abs_lt_0p95,-0.28967805867758933,0.28967805867758933,True,kept_no_second_screen,False,reject_small_predicted_yaw,keep,,7.96292476233441
main29_s016,main29_s016_o104,35,front,True,kept_m2_abs_lt_0p95,-0.07727219330328161,0.07727219330328161,True,kept_no_second_screen,False,reject_poor_keep_flip_match,keep,,-9.574814228588025
main29_s016,main29_s016_o106,48,rear,True,kept_m2_abs_lt_0p95,-0.3209197802585617,0.3209197802585617,True,kept_no_second_screen,True,accept_keep,keep,34.0,37.62166906078761
main29_s016,main29_s016_o107,49,rear,True,kept_m2_abs_lt_0p95,0.09448790138037122,0.09448790138037122,True,kept_no_second_screen,False,reject_poor_keep_flip_match,keep,,15.028770781698483
main29_s017,main29_s017_o109,48,front,True,kept_m2_abs_lt_0p95,0.04396642535195561,0.04396642535195561,True,kept_no_second_screen,True,accept_keep,keep,17.30000000000001,22.1371954434872
main29_s017,main29_s017_o110,49,front,False,rejected_m2_abs_ge_0p95,-1.1793902565949121,1.1793902565949121,True,kept_no_second_screen,False,reject_ambiguous_low_separation,flip,,9.226060611015157
main29_s017,main29_s017_o111,50,front,True,kept_m2_abs_lt_0p95,-0.40437266477836964,0.40437266477836964,True,kept_no_second_screen,False,reject_small_predicted_yaw,keep,,-5.033400768651688
main29_s017,main29_s017_o112,51,front,False,rejected_m2_abs_ge_0p95,1.0558541664935728,1.0558541664935728,True,kept_no_second_screen,False,reject_poor_keep_flip_match,keep,,-21.900398797349283
