combo_index,core_reject_threshold,core_support_threshold,yaw_support_threshold,yaw_bonus_weight,min_decision_score_gap,solver_success_rate,position_mean_error_m,position_median_error_m,position_p90_error_m,position_p95_error_m,position_max_error_m,heading_mean_abs_error_deg,heading_median_abs_error_deg,heading_p90_abs_error_deg,heading_p95_abs_error_deg,heading_max_abs_error_deg,position_within_5cm_rate,position_within_10cm_rate,heading_within_5deg_rate,heading_within_10deg_rate,joint_within_10cm_10deg_rate,samples_with_rejection,total_rejected_tags,combo_runtime_s
28,1.0,0.6,2.0,0.25,0.5,1.0,0.04077513344582916,0.038172571852276786,0.06974217011889072,0.07407551106525607,0.10049423579621065,1.1156733838572745,0.83746109187922,2.514922164745826,3.385801035393797,4.877939540716881,0.6923076923076923,0.9743589743589743,1.0,1.0,0.9743589743589743,12,12,0.4951689000008628
29,1.0,0.6,2.5,0.25,0.3,1.0,0.04077513344582916,0.038172571852276786,0.06974217011889072,0.07407551106525607,0.10049423579621065,1.1156733838572745,0.83746109187922,2.514922164745826,3.385801035393797,4.877939540716881,0.6923076923076923,0.9743589743589743,1.0,1.0,0.9743589743589743,12,12,0.48580479999873205
30,1.0,0.6,2.5,0.25,0.5,1.0,0.04114747329196584,0.03879504916850857,0.06974217011889072,0.07407551106525607,0.10049423579621065,1.1252137055712272,0.83746109187922,2.514922164745826,3.385801035393797,4.877939540716881,0.6923076923076923,0.9743589743589743,1.0,1.0,0.9743589743589743,11,11,0.4767673999995168
31,1.0,0.8,1.5,0.25,0.3,1.0,0.04077513344582916,0.038172571852276786,0.06974217011889072,0.07407551106525607,0.10049423579621065,1.1156733838572745,0.83746109187922,2.514922164745826,3.385801035393797,4.877939540716881,0.6923076923076923,0.9743589743589743,1.0,1.0,0.9743589743589743,12,12,0.48751179999817396
32,1.0,0.8,1.5,0.25,0.5,1.0,0.04077513344582916,0.038172571852276786,0.06974217011889072,0.07407551106525607,0.10049423579621065,1.1156733838572745,0.83746109187922,2.514922164745826,3.385801035393797,4.877939540716881,0.6923076923076923,0.9743589743589743,1.0,1.0,0.9743589743589743,12,12,0.4825563000013062
33,1.0,0.8,2.0,0.25,0.3,1.0,0.04077513344582916,0.038172571852276786,0.06974217011889072,0.07407551106525607,0.10049423579621065,1.1156733838572745,0.83746109187922,2.514922164745826,3.385801035393797,4.877939540716881,0.6923076923076923,0.9743589743589743,1.0,1.0,0.9743589743589743,12,12,0.4821486999971967
34,1.0,0.8,2.0,0.25,0.5,1.0,0.04077513344582916,0.038172571852276786,0.06974217011889072,0.07407551106525607,0.10049423579621065,1.1156733838572745,0.83746109187922,2.514922164745826,3.385801035393797,4.877939540716881,0.6923076923076923,0.9743589743589743,1.0,1.0,0.9743589743589743,12,12,0.48530359999858774
35,1.0,0.8,2.5,0.25,0.3,1.0,0.04077513344582916,0.038172571852276786,0.06974217011889072,0.07407551106525607,0.10049423579621065,1.1156733838572745,0.83746109187922,2.514922164745826,3.385801035393797,4.877939540716881,0.6923076923076923,0.9743589743589743,1.0,1.0,0.9743589743589743,12,12,0.48769000000174856
36,1.0,0.8,2.5,0.25,0.5,1.0,0.04114747329196584,0.03879504916850857,0.06974217011889072,0.07407551106525607,0.10049423579621065,1.1252137055712272,0.83746109187922,2.514922164745826,3.385801035393797,4.877939540716881,0.6923076923076923,0.9743589743589743,1.0,1.0,0.9743589743589743,11,11,0.46634419999827514
37,1.2,0.4,1.5,0.25,0.3,1.0,0.0427163643838687,0.035242534826912524,0.07407551106525607,0.10049423579621065,0.11427054170269618,1.1327422416243258,0.8784307628236547,2.514922164745826,3.385801035393797,4.877939540716881,0.6666666666666666,0.9487179487179487,1.0,1.0,0.9487179487179487,10,10,0.46718999999939115
38,1.2,0.4,1.5,0.25,0.5,1.0,0.042007252675863097,0.035242534826912524,0.07200329330718738,0.10049423579621065,0.11427054170269618,1.1274705906933344,0.8784307628236547,2.514922164745826,3.385801035393797,4.877939540716881,0.6666666666666666,0.9487179487179487,1.0,1.0,0.9487179487179487,9,9,0.45663129999957164
39,1.2,0.4,2.0,0.25,0.3,1.0,0.041816442201703406,0.035242534826912524,0.07200329330718738,0.10049423579621065,0.11427054170269618,1.1257754404606213,0.8784307628236547,2.514922164745826,3.385801035393797,4.877939540716881,0.6923076923076923,0.9487179487179487,1.0,1.0,0.9487179487179487,8,8,0.45036659999823314
40,1.2,0.4,2.0,0.25,0.5,1.0,0.041816442201703406,0.035242534826912524,0.07200329330718738,0.10049423579621065,0.11427054170269618,1.1257754404606213,0.8784307628236547,2.514922164745826,3.385801035393797,4.877939540716881,0.6923076923076923,0.9487179487179487,1.0,1.0,0.9487179487179487,8,8,0.44851849999758997
41,1.2,0.4,2.5,0.25,0.3,1.0,0.04167914239343926,0.035242534826912524,0.07200329330718738,0.10049423579621065,0.11427054170269618,1.1203120609895454,0.83746109187922,2.514922164745826,3.385801035393797,4.877939540716881,0.6923076923076923,0.9487179487179487,1.0,1.0,0.9487179487179487,7,7,0.44107050000093295
42,1.2,0.4,2.5,0.25,0.5,1.0,0.04205148223957594,0.038172571852276786,0.07200329330718738,0.10049423579621065,0.11427054170269618,1.1298523827034979,0.83746109187922,2.514922164745826,3.385801035393797,4.877939540716881,0.6923076923076923,0.9487179487179487,1.0,1.0,0.9487179487179487,6,6,0.43167340000218246
43,1.2,0.6,1.5,0.25,0.3,1.0,0.04238825410144487,0.035242534826912524,0.07407551106525607,0.10049423579621065,0.11427054170269618,1.1255837119205365,0.83746109187922,2.514922164745826,3.385801035393797,4.877939540716881,0.6923076923076923,0.9487179487179487,1.0,1.0,0.9487179487179487,8,8,0.4448307999991812
