stage,sample_uid,observation_uid,tag_id,camera_role,measured_distance_m,predicted_distance_m,distance_residual_m,normalized_distance_residual,measured_angle_deg,predicted_angle_deg,angle_residual_deg,normalized_angle_residual,yaw_used,measured_yaw_deg,predicted_yaw_deg,yaw_residual_deg,normalized_yaw_residual,combined_score
pass1,main29_s016,main29_s016_o102,33,front,3.393,3.400552465892876,0.007552465892876281,0.15104931785752562,-1.1,0.1146186484341456,1.21461864843414,0.40487288281137995,True,21.7,23.85496459885303,2.1549645988530415,0.7183215329510139,0.48398476985759087
pass1,main29_s016,main29_s016_o103,34,front,3.144,3.1371244280844985,-0.006875571915501588,-0.13751143831003176,-16.4,-16.20747742761563,0.19252257238437664,0.06417419079479221,False,,,,,0.10730266173366824
pass1,main29_s016,main29_s016_o104,35,front,3.147,3.1575694666379155,0.010569466637915692,0.21138933275831384,-27.7,-33.69304605828273,-5.993046058282744,-1.412574502591679,False,,,,,1.0099634090837486
pass1,main29_s016,main29_s016_o106,48,rear,2.377,2.3702291354616523,-0.006770864538347521,-0.13541729076695042,13.5,14.44834399720321,0.9483439972032102,0.22352682377331543,False,,,,,0.18480000484963144
pass1,main29_s016,main29_s016_o107,49,rear,1.935,1.9356215060909823,0.0006215060909822157,0.012430121819644313,-10.2,-7.990471725788439,2.20952827421155,0.5207908086394656,False,,,,,0.368359589458317
pass1,main29_s017,main29_s017_o109,48,front,4.136,4.149961334672132,0.013961334672131898,0.27922669344263795,13.1,12.322281052568883,-0.7777189474311115,-0.25923964914370384,True,17.3,21.013279631873843,3.7132796318738315,1.2377598772912772,0.7477125686276284
pass1,main29_s017,main29_s017_o110,49,front,3.934,3.912560579561616,-0.021439420438384094,-0.4287884087676819,-1.2,-0.6379377741723147,0.562062225827674,0.18735407527589132,False,,,,,0.3308784134814517
pass1,main29_s017,main29_s017_o111,50,front,3.671,3.7074985183212044,0.03649851832120454,0.7299703664240909,-14.9,-14.867393945131312,0.032606054868693946,0.010868684956231315,False,,,,,0.5162242071861796
pass1,main29_s017,main29_s017_o113,34,rear,1.142,1.1681139126998998,0.026113912699899933,0.5222782539979987,12.2,12.447277812192368,0.24727781219237954,0.05828393927940171,False,,,,,0.37159897213065796
pass1,main29_s018,main29_s018_o116,55,front,3.329,3.319736010257529,-0.009263989742471335,-0.1852797948494267,15.5,14.521853574357948,-0.978146425642052,-0.3260488085473507,True,-13.6,-11.636854671045171,1.9631453289548233,0.6543817763182744,0.4354507002757996
