combo_index,distance_sigma_m,angle_sigma_deg,yaw_sigma_deg,distance_global_weight,angle_global_weight,yaw_global_weight,robust_rejection_score_threshold,robust_min_score_gap,robust_max_rejections,solver_success_rate,position_mean_error_m,position_median_error_m,position_p90_error_m,position_p95_error_m,position_max_error_m,heading_mean_abs_error_deg,heading_median_abs_error_deg,heading_p90_abs_error_deg,heading_p95_abs_error_deg,heading_max_abs_error_deg,position_within_5cm_rate,position_within_10cm_rate,heading_within_5deg_rate,heading_within_10deg_rate,joint_within_10cm_10deg_rate,samples_with_rejection,total_rejected_tags,combo_runtime_s
51,0.05,2.0,2.0,1.0,1.0,1.0,0.8,0.5,1,1.0,0.04598721969070786,0.03933278987761578,0.08021032318046918,0.137197035984795,0.15543548510107863,1.2680363909393884,0.8944174644724967,3.442871029789103,3.8899823373672575,5.046878006641009,0.7435897435897436,0.9230769230769231,0.9743589743589743,1.0,0.9230769230769231,9,9,0.44495870000173454
52,0.05,2.0,3.0,1.0,1.0,1.0,0.8,0.5,1,1.0,0.039825899375255616,0.03733369662108152,0.07051080552130123,0.09903673261566437,0.10244787427619331,1.2288788224286764,0.8580584027013174,2.9107168281668123,3.4619455136258352,4.881539094138702,0.7692307692307693,0.9743589743589743,1.0,1.0,0.9743589743589743,11,11,0.4557922999993025
53,0.05,2.0,4.0,1.0,1.0,1.0,0.8,0.5,1,1.0,0.03761146392840494,0.036428507525178525,0.05754784552456043,0.06572067365570682,0.08595750585590044,1.1669752031502925,0.7843615068992449,2.436255834911293,3.4711890019075327,4.792978175798055,0.7948717948717948,1.0,1.0,1.0,1.0,9,9,0.4667871000019659
54,0.05,2.0,5.0,1.0,1.0,1.0,0.8,0.5,1,1.0,0.03687864358213235,0.03665249702027429,0.05564890570314707,0.06536961582802833,0.07638798089719843,1.1670903735203246,0.8454155100847061,2.3268699418286474,3.4761359287850837,4.742955868403044,0.8461538461538461,1.0,1.0,1.0,1.0,9,9,0.4466327999980422
55,0.05,2.0,6.0,1.0,1.0,1.0,0.8,0.5,1,1.0,0.03651225790263242,0.03740887210815395,0.06120264208126642,0.06517724902385323,0.07051915637100127,1.1420530884286488,0.7563270602686885,2.321564039623013,3.479035429023668,4.712719146705751,0.8461538461538461,1.0,1.0,1.0,1.0,12,12,0.46947300000101677
56,0.05,2.5,2.0,1.0,1.0,1.0,0.8,0.5,1,1.0,0.047625784864566534,0.04098927827898499,0.081250505020899,0.13738554229030084,0.15426086079623239,1.284667146744904,0.9371280788994909,3.4068556741437988,3.869142743424902,5.04796762413082,0.717948717948718,0.9230769230769231,0.9743589743589743,1.0,0.9230769230769231,7,7,0.44016699999701814
57,0.05,2.5,3.0,1.0,1.0,1.0,0.8,0.5,1,1.0,0.03744750917338338,0.0335450832345915,0.06305147135024003,0.07144675068054025,0.08508488799083394,1.1584534951940209,0.845405708267748,2.891357223543281,3.41928972334415,4.879111884636103,0.8461538461538461,1.0,1.0,1.0,1.0,5,5,0.4134178000022075
58,0.05,2.5,4.0,1.0,1.0,1.0,0.8,0.5,1,1.0,0.0382859234974121,0.03593339772087352,0.06292347647141933,0.06691189465201884,0.0844137622083047,1.1681153783825577,0.8341088048566689,2.4324038147553892,3.4254224801682653,4.7886912095342495,0.8205128205128205,1.0,1.0,1.0,1.0,8,8,0.44037279999975
59,0.05,2.5,5.0,1.0,1.0,1.0,0.8,0.5,1,1.0,0.03773157807498,0.0365476499823258,0.06231764068636806,0.0664257903050256,0.07467085084281563,1.145252584661066,0.8136545343816692,2.426757340667109,3.4287701893823623,4.737627704992178,0.7948717948717948,1.0,1.0,1.0,1.0,7,7,0.42852009999842267
60,0.05,2.5,6.0,1.0,1.0,1.0,0.8,0.5,1,1.0,0.03783139860274287,0.03695655392225811,0.06210704920769027,0.06615778947532802,0.06869223664428199,1.1403352217865823,0.8017024926633098,2.423354111056483,3.430758747414984,4.706765087560086,0.7948717948717948,1.0,1.0,1.0,1.0,7,7,0.4366383999986283
61,0.05,3.0,2.0,1.0,1.0,1.0,0.8,0.5,1,1.0,0.04657473293594182,0.04279654257717432,0.07448663600747044,0.1374885047725406,0.1536303211289118,1.2963315686356043,0.999477093729638,3.3806357480694373,3.8576762372215967,5.048694206975,0.6666666666666666,0.9487179487179487,0.9743589743589743,1.0,0.9487179487179487,6,6,0.39854490000288934
62,0.05,3.0,3.0,1.0,1.0,1.0,0.8,0.5,1,1.0,0.037706394650070786,0.03426879802668941,0.06778996261439983,0.07200329330718738,0.08420754069997671,1.1756757036869692,0.83746109187922,2.880835021029327,3.385801035393797,4.877939540716881,0.7692307692307693,1.0,1.0,1.0,1.0,2,2,0.38056390000201645
