sample_index,gt_x_m,gt_y_m,gt_heading_deg,preferred_heading_deg,tag_id,camera_role,used,meas_distance_m,true_distance_m,distance_error_m,meas_angle_deg,true_angle_deg,angle_error_deg,meas_yaw_deg,true_yaw_deg,yaw_error_deg,yaw_quant_true_angle_deg,yaw_quant_meas_yaw_deg,yaw_quant_true_yaw_deg,yaw_err_keep_deg,yaw_err_flip_deg,yaw_best_mode,yaw_best_err_deg,yaw_flip_gain_deg,yaw_branch_separation_deg,yaw_quantized_deg,yaw_decision,,dd
21,2,3,265,265,38,rear,A,2.235,2.208,0.027,12.3,11.5,0.8,10.4,16.5,-6.1,11.5,10.4,16.5,-6.1,-26.9,keep,-6.1,-20.8,20.8,,reject_edge,,6.1
21,2,3,265,265,45,front,A,2.775,2.863,-0.088,-0.7,1.4,-2.1,-0.3,6.4,-6.7,1.4,-0.3,6.4,-6.7,-6.1,flip,-6.1,0.7,0.7,,weak_small_true_yaw,,6.1
11,5,1,115,115,36,front,A,3.66,3.699,-0.039,22.4,18.2,4.2,12.8,-6.8,19.6,18.2,12.8,-6.8,19.6,-6,flip,-6,13.6,13.6,,weak_small_true_yaw,,6
10,5,2,115,115,36,front,A,2.728,2.709,0.019,19.8,15.7,4.1,-15.1,-9.3,-5.8,15.7,-15.1,-9.3,-5.8,24.4,keep,-5.8,-18.6,18.6,-9.3,accept_keep_quantized,,5.8
14,4,3,250,250,46,front,A,3.098,3.154,-0.056,2.6,5.4,-2.8,19.6,25.4,-5.8,5.4,19.6,25.4,-5.8,-45,keep,-5.8,-39.2,39.2,25.4,accept_keep_quantized,,5.8
10,5,2,115,115,37,front,A,3.369,3.432,-0.063,3.4,1.3,2.1,18,-23.7,41.7,1.3,18,-23.7,41.7,5.7,flip,5.7,36,36,-23.7,accept_flip_quantized,,5.7
9,5,3,245,245,47,front,A,3.143,3.175,-0.033,-1,1.2,-2.2,20.5,26.2,-5.7,1.2,20.5,26.2,-5.7,-46.6,keep,-5.7,-41,41,26.2,accept_keep_quantized,,5.7
27,8,3,250,250,50,front,A,3.061,3.091,-0.03,5.3,10.6,-5.3,24.9,30.6,-5.7,10.6,24.9,30.6,-5.7,-55.5,keep,-5.7,-49.8,49.8,30.6,accept_keep_quantized,,5.7
20,2,2,70,70,44,rear,A,1.416,1.436,-0.02,10.4,11.8,-1.5,-63.9,-58.2,-5.7,11.8,-63.9,-58.2,-5.7,122,keep,-5.7,-116.4,116.4,,reject_edge,,5.7
5,8,4,310,310,55,front,A,3.145,3.188,-0.043,-10.2,-5.8,-4.4,38.7,44.2,-5.5,-5.8,38.7,44.2,-5.5,-82.9,keep,-5.5,-77.4,77.4,44.2,accept_keep_quantized,,5.5
11,5,1,115,115,38,front,A,4.729,4.759,-0.03,-2.9,-4.5,1.6,24.2,-29.5,53.7,-4.5,24.2,-29.5,53.7,5.3,flip,5.3,48.4,48.4,-29.5,accept_flip_quantized,,5.3
16,3,4,280,280,47,front,A,3.88,3.887,-0.007,1.2,1.6,-0.4,3.1,-8.4,11.4,1.6,3.1,-8.4,11.4,5.3,flip,5.3,6.1,6.1,,ambiguous_low_separation,,5.3
17,3,3,265,265,46,front,A,2.804,2.869,-0.065,-1.9,2.4,-4.3,-2.2,7.4,-9.6,2.4,-2.2,7.4,-9.6,-5.2,flip,-5.2,4.4,4.4,,weak_small_true_yaw,,5.2
20,2,2,70,70,37,front,A,3.466,3.515,-0.049,4.7,6.7,-2,21.6,26.7,-5.1,6.7,21.6,26.7,-5.1,-48.3,keep,-5.1,-43.2,43.2,26.7,accept_keep_quantized,,5.1
2,9,2,85,85,52,rear,A,1.661,1.698,-0.038,7.5,10,-2.5,10,15,-5,10,10,15,-5,-25.1,keep,-5,-20.1,20.1,,reject_edge,,5
4,9,4,245,245,58,rear,A,0.743,0.799,-0.056,11.6,13.9,-2.3,-56.1,-51.1,-5,13.9,-56.1,-51.1,-5,107.2,keep,-5,-102.3,102.3,,reject_edge,,5
18,3,2,65,65,36,front,A,3.022,3.072,-0.051,0.4,4.5,-4.1,24.9,29.5,-4.6,4.5,24.9,29.5,-4.6,-54.5,keep,-4.6,-49.8,49.8,29.5,accept_keep_quantized,,4.6
7,6,4,260,260,48,front,A,4.072,4.117,-0.045,9.3,10.9,-1.6,16.5,20.9,-4.5,10.9,16.5,20.9,-4.5,-37.4,keep,-4.5,-32.9,32.9,20.9,accept_keep_quantized,,4.5
13,4,2,65,65,34,front,A,3.904,3.97,-0.066,12.4,12.7,-0.3,33.2,37.7,-4.4,12.7,33.2,37.7,-4.4,-70.9,keep,-4.4,-66.5,66.5,37.7,accept_keep_quantized,,4.4
13,4,2,65,65,35,front,A,3.396,3.468,-0.072,-1.5,0.1,-1.5,20.7,25.1,-4.4,0.1,20.7,25.1,-4.4,-45.7,keep,-4.4,-41.3,41.3,25.1,accept_keep_quantized,,4.4
28,8,2,110,110,52,rear,A,1.693,1.727,-0.034,-0.8,2.2,-3,-22.2,-17.8,-4.4,2.2,-22.2,-17.8,-4.4,40,keep,-4.4,-35.6,35.6,-17.8,accept_keep_quantized,,4.4
