sample_uid,observation_uid,tag_id,camera_role,raw_yaw_deg,predicted_yaw_deg,yaw_keep_deg,yaw_flip_deg,yaw_keep_error_deg,yaw_flip_error_deg,yaw_keep_abs_error_deg,yaw_flip_abs_error_deg,best_mode,best_yaw_deg,best_abs_error_deg,branch_separation_deg,accepted,decision
main29_s013,main29_s013_o082,38,front,-36.5,-35.195446528964055,-36.5,36.5,-1.3045534710359448,71.69544652896406,1.3045534710359448,71.69544652896406,keep,-36.5,1.3045534710359448,70.39089305792811,True,accept_keep
main29_s013,main29_s013_o083,39,front,-45.5,-45.237883094560004,-45.5,45.5,-0.26211690543999566,90.73788309456,0.26211690543999566,90.73788309456,keep,-45.5,0.26211690543999566,90.47576618912001,True,accept_keep
main29_s013,main29_s013_o084,40,front,-41.5,36.188853710303704,-41.5,41.5,-77.6888537103037,5.311146289696296,77.6888537103037,5.311146289696296,flip,41.5,5.311146289696296,72.37770742060741,True,accept_flip
main29_s013,main29_s013_o086,49,rear,-8.5,-16.41122633945571,-8.5,8.5,7.911226339455709,24.91122633945571,7.911226339455709,24.91122633945571,keep,-8.5,7.911226339455709,17.0,True,accept_keep
main29_s014,main29_s014_o089,46,front,35.6,39.95544236709304,35.599999999999994,-35.599999999999994,-4.3554423670930476,-75.55544236709304,4.3554423670930476,75.55544236709304,keep,35.599999999999994,4.3554423670930476,71.19999999999999,True,accept_keep
main29_s014,main29_s014_o090,47,front,19.7,26.660043436313458,19.69999999999999,-19.69999999999999,-6.9600434363134696,-46.36004343631345,6.9600434363134696,46.36004343631345,keep,19.69999999999999,6.9600434363134696,39.39999999999998,True,accept_keep
main29_s014,main29_s014_o091,48,front,9.2,9.583803513951239,9.199999999999989,-9.199999999999989,-0.3838035139512499,-18.783803513951227,0.3838035139512499,18.783803513951227,keep,9.199999999999989,0.3838035139512499,18.399999999999977,True,accept_keep
main29_s014,main29_s014_o093,34,rear,32.4,33.101359973092485,32.400000000000006,-32.400000000000006,-0.7013599730924795,-65.50135997309249,0.7013599730924795,65.50135997309249,keep,32.400000000000006,0.7013599730924795,64.80000000000001,True,accept_keep
main29_s015,main29_s015_o096,46,front,28.8,31.77871207912088,28.80000000000001,-28.80000000000001,-2.978712079120868,-60.57871207912089,2.978712079120868,60.57871207912089,keep,28.80000000000001,2.978712079120868,57.60000000000002,True,accept_keep
main29_s015,main29_s015_o097,47,front,13.6,20.340612787100127,13.599999999999994,-13.599999999999994,-6.740612787100133,-33.94061278710012,6.740612787100133,33.94061278710012,keep,13.599999999999994,6.740612787100133,27.19999999999999,True,accept_keep
