tag_id,camera_role,metric,count,mean_raw,median,std_raw,mad,robust_sigma,outlier_count,mean_clean,std_clean,min_clean,max_clean
41,rear,angle_error_deg,5,6.0200000000000005,6.3,3.360357123878354,0.9000000000000004,1.3343400000000005,1,7.375,1.6780444968275825,6.2,9.8
41,rear,distance_error_cm,5,-0.76,-3.1,5.501181691236893,2.6999999999999997,4.003019999999999,0,-0.76,5.501181691236893,-5.8,7.2
41,rear,single_heading_err_deg,5,17.3,23.3,11.790886311045494,5.199999999999999,7.709519999999999,0,17.3,11.790886311045494,0.2,28.5
41,rear,single_pos_err_cm,5,64.52000000000001,70.05,34.805938430101264,36.04,53.43290399999999,0,64.52000000000001,34.805938430101264,29.02,114.7
41,rear,yaw_error_deg,5,-7.3,-14.7,14.48706319445042,6.600000000000001,9.785160000000001,0,-7.3,14.48706319445042,-21.3,10.6
42,front,angle_error_deg,12,-0.3315,-0.44899999999999995,3.5670205672623654,1.359,2.0148534,1,-1.1161818181818182,2.422482603371253,-5.136,3.4
42,front,distance_error_cm,12,-3.348333333333334,-4.16,7.336274547917644,1.79,2.653854,2,-4.505000000000001,2.8438832996841175,-9.8,0.9
42,front,single_heading_err_deg,12,14.82583333333333,9.05,13.027877541734274,7.4755,11.0831763,1,12.19181818181818,9.752747293129067,0.8,31.559
42,front,single_pos_err_cm,12,85.20916666666666,40.725,102.64602409678997,22.470000000000002,33.314022,3,30.547777777777778,20.007926415409578,4.83,65.37
42,front,yaw_error_deg,12,4.588416666666666,-0.0605,18.49019638254693,7.1000000000000005,10.52646,1,1.087363636363636,14.638264373024057,-23.212,30.961
42,rear,angle_error_deg,2,7.15,7.15,2.757716446627535,1.9499999999999997,2.8910699999999996,0,7.15,2.757716446627535,5.2,9.1
42,rear,distance_error_cm,2,-3.7,-3.7,4.525483399593905,3.2,4.74432,0,-3.7,4.525483399593905,-6.9,-0.5
42,rear,single_heading_err_deg,2,4.05,4.05,0.0707106781186545,0.04999999999999982,0.07412999999999974,0,4.05,0.0707106781186545,4.0,4.1
42,rear,single_pos_err_cm,2,26.229999999999997,26.229999999999997,3.7759502115361636,2.67,3.9585419999999996,0,26.229999999999997,3.7759502115361636,23.56,28.9
42,rear,yaw_error_deg,2,7.05,7.05,2.899137802864845,2.05,3.0393299999999996,0,7.05,2.899137802864845,5.0,9.1
43,front,angle_error_deg,8,1.543,1.6,3.986910619228162,1.974,2.9266523999999996,0,1.543,3.986910619228162,-4.164,8.7
43,front,distance_error_cm,8,-6.215000000000001,-6.98,4.624462903176664,2.335,3.461871,0,-6.215000000000001,4.624462903176664,-13.9,0.92
