tag_id,camera_role,obs_count,datasets,gt_pose_count,distance_mean_clean,distance_median,distance_std_clean,distance_mad,distance_outliers,angle_mean_clean,angle_median,angle_std_clean,angle_mad,angle_outliers,yaw_mean_clean,yaw_median,yaw_std_clean,yaw_mad,yaw_outliers,single_pos_err_mean_clean,single_pos_err_median,single_pos_err_std_clean,single_pos_err_mad,single_pos_err_outliers,single_heading_err_mean_clean,single_heading_err_median,single_heading_err_std_clean,single_heading_err_mad,single_heading_err_outliers,diagnosis_flags,suggested_use
46,front,8,624,8,-3.175,-3.45,1.8444898636595586,1.35,0,-2.0285714285714285,-2.05,0.7341986237031632,0.4999999999999999,1,0.11999999999999993,0.7,3.1316130029108007,3.9000000000000004,3,28.22666666666667,26.185,31.648365307969172,18.83,2,5.733333333333333,6.300000000000001,5.399506150257324,4.850000000000001,2,OK_FIRST_PASS,TRUSTED_FIRST_PASS
46,rear,2,624,2,2.6,2.6,6.788225099390857,4.800000000000001,0,3.0,3.0,3.111269837220809,2.2,0,0.04999999999999982,0.04999999999999982,14.071424945612295,9.95,0,51.79,51.79,1.3717871555019006,0.9699999999999989,0,12.149999999999999,12.149999999999999,4.17193000900063,2.95,0,LOW_COUNT|YAW_UNSTABLE|SINGLE_POSE_BAD_POS|SINGLE_POSE_BAD_HEADING,USE_DIST_ANGLE_WEAK_YAW
47,front,7,"624,625",7,-2.517142857142857,-2.1,2.4033429099604455,1.5,0,-1.6666666666666667,-2.0,2.7551164524692355,1.5,1,-4.0988,-3.7,4.462466492871403,4.7,2,48.56666666666667,48.37,46.909870887337426,33.26,1,8.818666666666667,7.9,9.044866536697304,6.300000000000001,1,OK_FIRST_PASS,TRUSTED_FIRST_PASS
48,front,11,"624,625",11,-3.980909090909091,-3.31,2.5339315481893134,1.1400000000000001,0,-2.8903333333333334,-3.0,2.3003965419031562,1.2000000000000002,2,-4.3809,-2.189,8.483974795001588,7.311,1,45.005,38.76,31.80870888783622,16.099999999999998,1,5.8721,4.802,5.101841594518156,3.6279999999999997,1,OK_FIRST_PASS,TRUSTED_FIRST_PASS
48,rear,4,"624,625",4,5.1,5.95,5.0099900199501395,3.1499999999999995,0,4.61,4.75,2.1569422801734865,1.25,0,-9.9895,-10.85,13.89566986510546,8.229,0,56.676666666666655,64.875,14.43330292529514,13.59,1,14.924500000000002,15.5,11.118986809357526,6.7490000000000006,0,ANGLE_STEADY_BIAS|YAW_UNSTABLE|SINGLE_POSE_BAD_POS|SINGLE_POSE_BAD_HEADING,WEAK_OR_INSPECT
49,front,10,"624,625",10,-1.2940000000000003,-0.75,3.1552573411512554,1.945,0,-2.545444444444444,-1.8499999999999999,3.456479896915036,2.5040000000000004,1,-5.983888888888888,-5.0649999999999995,6.280162168376793,4.135000000000001,1,48.613000000000014,44.405,39.8279812443463,31.380000000000003,0,8.0292,5.371,7.101216355902229,4.2204999999999995,0,OK_FIRST_PASS,TRUSTED_FIRST_PASS
49,rear,5,"624,625",5,6.618,6.4,9.76419069867032,4.2,0,2.8435,3.3,0.9992508860808347,0.6999999999999997,1,1.0506,4.3,13.921590383285956,9.306000000000001,0,33.449999999999996,35.49,3.0694136247824266,5.57,2,10.6756,6.58,10.892031803111852,6.18,0,YAW_UNSTABLE,USE_DIST_ANGLE_WEAK_YAW
50,front,8,"624,625",8,-1.667142857142857,-0.92,1.6475205035215221,1.1900000000000002,1,-1.7515,-1.28,1.5875502826682373,1.1139999999999999,2,8.184124999999998,0.9750000000000001,21.20259340901148,11.559,0,51.41285714285714,76.135,40.00066029216923,41.405,1,18.08425,13.2025,17.57824965079613,10.424,0,YAW_UNSTABLE|SINGLE_POSE_BAD_POS|SINGLE_POSE_BAD_HEADING,USE_DIST_ANGLE_WEAK_YAW
50,rear,3,"624,625",3,-3.145,-3.09,0.07778174593052045,0.11000000000000032,1,3.369666666666667,2.6,2.4460687507372585,1.199,0,18.434,18.268,0.2347594513539343,0.33200000000000074,1,74.52333333333334,54.8,51.518961881363005,19.019999999999996,0,12.311666666666667,12.16,3.6148870429562985,3.385,0,YAW_STEADY_BIAS|SINGLE_POSE_BAD_POS|SINGLE_POSE_BAD_HEADING,USE_DIST_ANGLE_WEAK_YAW
51,front,8,625,8,1.7614285714285711,1.74,3.1999813987554604,2.55,1,-2.3949999999999996,-1.5815000000000001,2.1090815197954904,1.1070000000000002,0,-8.336166666666669,-5.3065,7.125687459232735,5.5009999999999994,2,61.699999999999996,67.14,43.63143427785589,27.67,0,10.1235,7.882,8.658115466345516,6.3555,0,SINGLE_POSE_BAD_POS,TRUSTED_FIRST_PASS
