sample_index,gt_x_m,gt_y_m,gt_heading_deg,preferred_heading_deg,tag_id,camera_role,used,meas_distance_m,true_distance_m,distance_error_m,meas_angle_deg,true_angle_deg,angle_error_deg,meas_yaw_deg,true_yaw_deg,yaw_error_deg,yaw_quant_true_angle_deg,yaw_quant_meas_yaw_deg,yaw_quant_true_yaw_deg,yaw_err_keep_deg,yaw_err_flip_deg,yaw_best_mode,yaw_best_err_deg,yaw_flip_gain_deg,yaw_branch_separation_deg,yaw_quantized_deg,yaw_decision
7,6.0,2.0,65.0,65.0,33,front,A,3.471,3.436,0.035,-3.9,-1.1,-2.7,19.8,23.9,-4.0,-1.1,19.8,23.9,-4.0,-43.7,keep,-4.0,-39.7,39.7,23.9,accept_keep_quantized
7,6.0,2.0,65.0,65.0,34,front,A,3.166,3.171,-0.005,-18.4,-17.3,-1.1,11.8,7.7,4.0,-17.3,11.8,7.7,4.0,-19.5,keep,4.0,-15.4,15.4,,weak_small_true_yaw
7,6.0,2.0,65.0,65.0,35,front,A,3.134,3.187,-0.053,-28.9,-34.6,5.7,-32.3,-9.6,-22.7,-34.6,-32.3,-9.6,-22.7,41.9,keep,-22.7,-19.2,19.2,,reject_edge
7,6.0,2.0,65.0,65.0,57,front,A,4.514,4.627,-0.113,42.4,43.2,-0.8,38.2,-21.8,60.0,43.2,38.2,-21.8,60.0,-16.4,flip,-16.4,43.5,43.5,,reject_edge
7,6.0,2.0,65.0,65.0,58,front,A,4.375,4.392,-0.017,28.3,28.0,0.2,-39.2,-37.0,-2.3,28.0,-39.2,-37.0,-2.3,76.2,keep,-2.3,-73.9,73.9,-37.0,accept_keep_quantized
8,6.0,4.0,260.0,260.0,46,front,A,4.956,5.109,-0.153,33.1,31.2,1.9,-47.6,41.2,-88.7,31.2,-47.6,41.2,-88.7,6.4,flip,6.4,82.3,82.3,,reject_edge
8,6.0,4.0,260.0,260.0,47,front,A,4.516,4.54,-0.024,23.8,22.1,1.6,29.6,32.1,-2.5,22.1,29.6,32.1,-2.5,-61.7,keep,-2.5,-59.2,59.2,32.1,accept_keep_quantized
8,6.0,4.0,260.0,260.0,48,front,A,4.098,4.117,-0.02,11.1,10.9,0.1,17.8,20.9,-3.1,10.9,17.8,20.9,-3.1,-38.7,keep,-3.1,-35.6,35.6,20.9,accept_keep_quantized
8,6.0,4.0,260.0,260.0,49,front,A,3.871,3.882,-0.012,-3.2,-2.1,-1.1,-6.8,7.9,-14.7,-2.1,-6.8,7.9,-14.7,-1.0,flip,-1.0,13.7,13.7,,weak_small_true_yaw
8,6.0,4.0,260.0,260.0,50,front,A,3.667,3.681,-0.014,-16.6,-16.5,-0.1,7.3,-6.5,13.8,-16.5,7.3,-6.5,13.8,-0.8,flip,-0.8,13.0,13.0,,weak_small_true_yaw
8,6.0,4.0,260.0,260.0,51,front,A,3.766,3.824,-0.059,-27.5,-33.2,5.7,33.4,-23.2,56.6,-33.2,33.4,-23.2,56.6,-10.1,flip,-10.1,46.4,46.4,,reject_edge
8,6.0,4.0,260.0,260.0,34,rear,A,1.172,1.2,-0.028,11.4,11.3,0.1,18.1,21.3,-3.2,11.3,18.1,21.3,-3.2,-39.4,keep,-3.2,-36.1,36.1,,reject_edge
9,7.0,1.0,25.0,25.0,31,front,A,4.159,4.176,-0.018,-19.9,-20.5,0.6,41.6,44.5,-2.9,-20.5,41.6,44.5,-2.9,-86.1,keep,-2.9,-83.2,83.2,44.5,accept_keep_quantized
9,7.0,1.0,25.0,25.0,54,front,A,3.314,3.35,-0.036,32.0,30.5,1.5,-27.2,5.5,-32.7,30.5,-27.2,5.5,-32.7,21.8,flip,21.8,10.9,10.9,,reject_edge
9,7.0,1.0,25.0,25.0,55,front,A,3.32,3.347,-0.027,12.9,12.7,0.1,-15.1,-12.3,-2.9,12.7,-15.1,-12.3,-2.9,27.4,keep,-2.9,-24.5,24.5,-12.3,accept_keep_quantized
9,7.0,1.0,25.0,25.0,56,front,A,3.646,3.699,-0.053,-4.2,-2.8,-1.4,23.2,-27.8,51.0,-2.8,23.2,-27.8,51.0,4.7,flip,4.7,46.3,46.3,-27.8,accept_flip_quantized
9,7.0,1.0,25.0,25.0,57,front,A,4.216,4.268,-0.052,-15.6,-15.0,-0.6,-42.7,-40.0,-2.7,-15.0,-42.7,-40.0,-2.7,82.7,keep,-2.7,-80.0,80.0,-40.0,accept_keep_quantized
10,9.0,4.0,245.0,245.0,48,front,A,5.871,5.89,-0.018,24.6,24.2,0.4,47.2,49.2,-1.9,24.2,47.2,49.2,-1.9,-96.4,keep,-1.9,-94.5,94.5,49.2,accept_keep_quantized
10,9.0,4.0,245.0,245.0,50,front,A,4.424,4.474,-0.05,8.9,10.1,-1.1,-34.7,35.1,-69.8,10.1,-34.7,35.1,-69.8,-0.3,flip,-0.3,69.5,69.5,35.1,accept_flip_quantized
10,9.0,4.0,245.0,245.0,51,front,A,3.803,3.817,-0.015,-4.2,-2.2,-2.0,16.0,22.8,-6.8,-2.2,16.0,22.8,-6.8,-38.8,keep,-6.8,-32.0,32.0,22.8,accept_keep_quantized
10,9.0,4.0,245.0,245.0,52,front,A,3.646,3.69,-0.044,-19.0,-18.4,-0.6,11.7,6.6,5.1,-18.4,11.7,6.6,5.1,-18.3,keep,5.1,-13.2,13.2,,weak_small_true_yaw
10,9.0,4.0,245.0,245.0,53,front,A,3.872,3.909,-0.037,-28.9,-34.9,6.0,27.5,-9.9,37.4,-34.9,27.5,-9.9,37.4,-17.6,flip,-17.6,19.9,19.9,,reject_edge
10,9.0,4.0,245.0,245.0,58,rear,A,0.739,0.799,-0.059,10.8,13.9,-3.1,-56.7,-51.1,-5.6,13.9,-56.7,-51.1,-5.6,107.9,keep,-5.6,-102.3,102.3,,reject_edge
