stage,sample_uid,observation_uid,tag_id,camera_role,measured_distance_m,predicted_distance_m,distance_residual_m,normalized_distance_residual,measured_angle_deg,predicted_angle_deg,angle_residual_deg,normalized_angle_residual,yaw_used,measured_yaw_deg,predicted_yaw_deg,yaw_residual_deg,normalized_yaw_residual,combined_score,rejected_from_pass2
final,main29_s009,main29_s009_o054,35,front,3.478,3.4745644135110894,-0.0034355864889108467,-0.06871172977821693,0.2,1.3446690220814617,1.144669022081473,0.3815563406938243,True,25.5,25.53366224439469,0.03366224439469079,0.011220748131563596,0.2239288935662453,False
final,main29_s009,main29_s009_o055,36,front,2.729,2.7210791409904034,-0.007920859009596715,-0.1584171801919343,-13.6,-12.66353228367609,0.9364677163239037,0.31215590544130123,False,,,,,0.24752506164209148,False
final,main29_s009,main29_s009_o056,37,front,3.117,3.16028680483033,0.043286804830330095,0.8657360966066019,-26.7,-31.411475416487633,-4.7114754164876445,-1.1105054054640424,False,,,,,0.9956709407561548,False
final,main29_s009,main29_s009_o057,46,rear,2.266,2.2595845281576126,-0.0064154718423874435,-0.12830943684774887,11.5,11.370349739092262,-0.1296502609077379,-0.030558859556822207,False,,,,,0.09326616610968856,False
final,main29_s009,main29_s009_o058,47,rear,1.839,1.873905931150551,0.03490593115055107,0.6981186230110215,-14.2,-12.986652474660218,1.2133475253397705,0.28598875436788934,False,,,,,0.5334600169739535,False
final,main29_s010,main29_s010_o060,45,front,3.588,3.609531065866753,0.021531065866752908,0.43062131733505815,22.7,23.22566124402624,0.5256612440262529,0.17522041467541763,True,42.2,38.34772170330936,-3.852278296690656,-1.2840927655635521,0.7884649946224749,False
final,main29_s010,main29_s010_o061,46,front,3.143,3.1102480829865717,-0.032751917013428056,-0.6550383402685611,7.6,9.351045054805127,1.7510450548051324,0.5836816849350441,True,20.2,24.473105514088246,4.2731055140882575,1.424368504696086,0.965847671516333,False
final,main29_s010,main29_s010_o062,48,front,2.875,2.894640538373147,0.019640538373146832,0.39281076746293664,-24.9,-27.17670633402065,-2.276706334020645,-0.7589021113402149,False,,,,,0.6042485885922521,False
final,main29_s011,main29_s011_o065,42,front,2.995,2.989191669771122,-0.005808330228878056,-0.11616660457756112,16.7,17.342779467693845,0.6427794676938561,0.2142598225646187,True,-27.1,-22.925690069938724,4.17430993006127,1.3914366433537566,0.8155770725999415,False
final,main29_s011,main29_s011_o066,43,front,3.543,3.510058611854049,-0.032941388145951045,-0.6588277629190209,-0.1,1.928109016480903,2.0281090164808973,0.6760363388269658,True,-39.1,-38.340360521151666,0.759639478848328,0.25321315961610935,0.5642682744966331,False
final,main29_s011,main29_s011_o067,45,front,4.412,4.451117330796999,0.03911733079699875,0.782346615939975,-18.7,-18.707754925227846,-0.007754925227857257,-0.002584975075952419,True,30.6,31.023775537139585,0.4237755371395906,0.14125851237986353,0.4589941455286208,False
final,main29_s011,main29_s011_o068,46,front,3.995,4.04394736290425,0.048947362904249836,0.9789472580849967,-26.2,-30.333996998940734,-4.133996998940745,-0.9743924371186127,False,,,,,0.9766725028447567,False
final,main29_s011,main29_s011_o069,35,rear,1.828,1.8570864455788847,0.029086445578884623,0.5817289115776925,0.8,0.27414231319647797,-0.5258576868035334,-0.1752858956011778,True,50.5,50.00567277556388,-0.49432722443611965,-0.16477574147870655,0.36344862853042076,False
final,main29_s012,main29_s012_o072,36,front,3.664,3.7157208669929105,0.05172086699291034,1.0344173398582068,20.6,20.55060495523344,-0.04939504476655543,-0.016465014922185144,False,,,,,0.7315361678398808,False
final,main29_s012,main29_s012_o073,37,front,4.433,4.372776343678937,-0.06022365632106297,-1.2044731264212594,7.6,8.863272181455784,1.2632721814557897,0.4210907271519299,True,-15.1,-17.79111200548118,-2.6911120054811875,-0.8970373351603959,0.9005089104567499,False
final,main29_s012,main29_s012_o074,38,front,4.735,4.75624367007893,0.021243670078929355,0.35547459143836363,-4.4,-2.252255958833757,2.1477440411662485,0.7159146803887495,True,-24.9,-28.906640145770723,-4.006640145770717,-1.3355467152569058,0.8986250689039539,False
final,main29_s012,main29_s012_o075,40,front,5.113,5.238231478077395,0.12523147807739488,2.095523435422694,-19.0,-18.797577356296358,0.20242264370364182,0.06747421456788061,True,42.7,44.548038456766676,1.8480384567666874,0.6160128189222291,1.2616448299889835,False
final,main29_s012,main29_s012_o076,41,front,4.613,4.587703796832952,-0.025296203167048503,-0.42328644025908335,-25.0,-27.806287698024164,-2.806287698024164,-0.9354292326747213,True,36.2,35.53932811503887,-0.6606718849611184,-0.22022396165370614,0.6062721757143067,False
final,main29_s012,main29_s012_o078,49,rear,0.868,0.9376452554754041,0.06964525547540412,1.3929051095080824,-2.8,-3.3291808530503886,-0.5291808530503772,-0.17639361768345907,True,-29.1,-29.983565039987354,-0.88356503998736,-0.29452167999578666,0.8282596960778108,False
final,main29_s013,main29_s013_o080,36,front,2.764,2.7261259198029393,-0.03787408019706051,-0.7574816039412102,17.8,17.204270026338918,-0.5957299736610935,-0.19857665788703116,False,,,,,0.5537197257489259,False
final,main29_s013,main29_s013_o081,37,front,3.442,3.4356402003887814,-0.006359799611218797,-0.12719599222437594,1.6,2.638766125569475,1.038766125569481,0.34625537518982696,True,-23.1,-22.81035472869496,0.2896452713050337,0.09654842376834456,0.22014631756928024,False
final,main29_s013,main29_s013_o082,38,front,3.863,3.911048743235076,0.0480487432350758,0.9609748647015159,-11.5,-10.479922424012244,1.0200775759877558,0.3400258586625853,True,-36.5,-35.92904327827671,0.5709567217232916,0.1903189072410972,0.5986962395073623,False
final,main29_s013,main29_s013_o083,39,front,4.574,4.5435359531309825,-0.03046404686901738,-0.5097610052353481,-19.5,-20.3622282695045,-0.8622282695044987,-0.28740942316816626,True,-45.5,-45.811349123768935,-0.31134912376893453,-0.1037830412563115,0.3431381542162573,False
final,main29_s013,main29_s013_o084,40,front,4.486,4.590901935342766,0.10490193534276582,2.0980387068553163,-25.2,-28.866722757650393,-3.6667227576504047,-0.8642548422218796,True,41.5,35.68415638808517,-5.815843611914829,-1.3708074854351464,1.5305571980918282,True
final,main29_s013,main29_s013_o086,49,rear,1.885,1.869082223053254,-0.01591777694674601,-0.3183555389349202,11.8,10.720380202029219,-1.0796197979707927,-0.25446882674946597,False,,,,,0.2881879880891926,False
final,main29_s014,main29_s014_o089,46,front,3.688,3.677657769567429,-0.01034223043257132,-0.2068446086514264,15.6,15.176985899998044,-0.42301410000195006,-0.14100470000065002,True,35.6,39.38339986059731,3.7833998605973136,1.2611332868657712,0.7423216249917773,False
final,main29_s014,main29_s014_o090,47,front,3.2,3.1613320286190483,-0.038667971380951904,-0.7733594276190381,0.8,1.7464382240832492,0.9464382240832379,0.31547940802774593,True,19.7,25.952852184682513,6.252852184682524,2.0842840615608416,1.2963862735123022,False
final,main29_s014,main29_s014_o091,48,front,2.869,2.876454709240363,0.007454709240362956,0.1490941848072591,-15.9,-15.397518629386695,0.5024813706133102,0.16749379020443675,True,9.2,8.808895331212568,-0.39110466878742045,-0.13036822292914016,0.14975437584045304,False
final,main29_s014,main29_s014_o092,49,front,2.871,2.8860795523196447,0.015079552319644751,0.301591046392895,-28.1,-34.172940127645916,-6.072940127645921,-1.4314057153327762,False,,,,,1.0343789153766858,False
final,main29_s014,main29_s014_o093,34,rear,2.604,2.5691533770861046,-0.03484662291389551,-0.5398415608683482,9.0,9.754488634655331,0.7544886346553312,0.2514962115517771,True,32.4,33.96090259525454,1.5609025952545323,0.5203008650848441,0.45657866991852486,False
final,main29_s014,main29_s014_o094,35,rear,2.206,2.183902007604881,-0.022097992395119004,-0.4419598479023801,-13.7,-11.558151192909378,2.1418488070906108,0.5048386052566961,False,,,,,0.4744420536353313,False
final,main29_s015,main29_s015_o096,46,front,4.459,4.488812944761801,0.029812944761800964,0.5962588952360193,6.4,7.166561584389683,0.7665615843896774,0.25552052812989245,True,28.8,31.655606334097655,2.8556063340976436,0.9518687780325479,0.6650487653891839,False
final,main29_s015,main29_s015_o097,47,front,4.083,4.071357492011922,-0.011642507988078421,-0.23285015976156842,-5.7,-4.289768879750909,1.4102311202490796,0.47007704008302653,True,13.6,20.199275869957063,6.599275869957069,2.1997586233190227,1.3056453859274104,False
final,main29_s015,main29_s015_o098,48,front,3.832,3.8488819129874847,0.01688191298748487,0.3376382597496974,-17.7,-17.583172504491586,0.11682749550840299,0.038942498502800994,False,,,,,0.2403290584141302,False
final,main29_s015,main29_s015_o099,49,front,3.817,3.850643821128392,0.03364382112839204,0.6728764225678407,-26.8,-31.608097451443314,-4.808097451443302,-1.1332794375071054,False,,,,,0.9319562660136248,False
