group_key,dataset,gt_x,gt_y,gt_h,tag_id,camera_role,kind,residual,abs_residual,classification,enabled,weight_multiplier,state,reason
624_x3.000_y3.000_h270.0,624,3.0,3.0,270.0,45,front,angle,-1.814337512287608,1.814337512287608,GOOD,True,1.0,USED_NORMAL,good_angle
624_x3.000_y3.000_h270.0,624,3.0,3.0,270.0,46,front,angle,-3.6176611899685156,3.6176611899685156,GOOD,True,1.0,USED_NORMAL,good_angle
624_x3.000_y3.000_h270.0,624,3.0,3.0,270.0,47,front,angle,-3.6905462445077433,3.6905462445077433,GOOD,True,1.0,USED_NORMAL,good_angle
624_x3.000_y3.000_h270.0,624,3.0,3.0,270.0,48,front,angle,1.1562816112030418,1.1562816112030418,GOOD,True,1.0,USED_NORMAL,good_angle
624_x3.000_y3.000_h270.0,624,3.0,3.0,270.0,49,front,angle,7.97197103966414,7.97197103966414,WEAK,True,0.5,USED_LOW_WEIGHT,weak_angle
624_x3.000_y3.000_h270.0,624,3.0,3.0,270.0,37,rear,yaw,-17.649732250129148,17.649732250129148,WEAK,True,0.25,USED_LOW_WEIGHT,weak_yaw
624_x3.000_y3.000_h270.0,624,3.0,3.0,270.0,38,rear,yaw,7.7886640973262615,7.7886640973262615,GOOD,True,1.0,USED_NORMAL,good_yaw
624_x3.000_y3.000_h270.0,624,3.0,3.0,270.0,44,front,yaw,-4.963109771536779,4.963109771536779,GOOD,True,1.0,USED_NORMAL,good_yaw
624_x3.000_y3.000_h270.0,624,3.0,3.0,270.0,45,front,yaw,0.29191248771238065,0.29191248771238065,GOOD,True,1.0,USED_NORMAL,good_yaw
624_x3.000_y3.000_h270.0,624,3.0,3.0,270.0,46,front,yaw,-17.81141118996851,17.81141118996851,WEAK,True,0.25,USED_LOW_WEIGHT,weak_yaw
624_x3.000_y3.000_h270.0,624,3.0,3.0,270.0,47,front,yaw,-3.884296244507766,3.884296244507766,GOOD,True,1.0,USED_NORMAL,good_yaw
624_x3.000_y3.000_h270.0,624,3.0,3.0,270.0,48,front,yaw,-9.637468388796975,9.637468388796975,GOOD,True,1.0,USED_NORMAL,good_yaw
624_x3.000_y3.000_h270.0,624,3.0,3.0,270.0,49,front,yaw,-10.521778960335865,10.521778960335865,WEAK,True,0.25,USED_LOW_WEIGHT,weak_yaw
624_x3.000_y4.000_h0.0,624,3.0,4.0,0.0,36,front,distance,-0.0371953619229175,0.0371953619229175,GOOD,True,1.0,USED_NORMAL,good_distance
624_x3.000_y4.000_h0.0,624,3.0,4.0,0.0,40,rear,distance,0.07162512350391204,0.07162512350391204,GOOD,True,1.0,USED_NORMAL,good_distance
624_x3.000_y4.000_h0.0,624,3.0,4.0,0.0,41,rear,distance,0.054028357716741304,0.054028357716741304,GOOD,True,1.0,USED_NORMAL,good_distance
624_x3.000_y4.000_h0.0,624,3.0,4.0,0.0,56,front,distance,0.11082592815435177,0.11082592815435177,WEAK,True,0.5,USED_LOW_WEIGHT,weak_distance
624_x3.000_y4.000_h0.0,624,3.0,4.0,0.0,57,front,distance,-0.02015347281980251,0.02015347281980251,GOOD,True,1.0,USED_NORMAL,good_distance
624_x3.000_y4.000_h0.0,624,3.0,4.0,0.0,36,front,angle,-0.17977581750250238,0.17977581750250238,GOOD,True,1.0,USED_NORMAL,good_angle
624_x3.000_y4.000_h0.0,624,3.0,4.0,0.0,40,rear,angle,6.19081230496144,6.19081230496144,WEAK,True,0.5,USED_LOW_WEIGHT,weak_angle
624_x3.000_y4.000_h0.0,624,3.0,4.0,0.0,41,rear,angle,5.9173456044639465,5.9173456044639465,WEAK,True,0.5,USED_LOW_WEIGHT,weak_angle
