x_m,y_m,room,best_heading_deg,backup_heading_deg,best_status,backup_status,best_score,backup_score,best_front_good_count,best_rear_good_count,best_good_total_count,best_effective_good_count,best_front_weighted_count,best_rear_weighted_count,best_geometry_span_deg,best_front_good_tag_ids,best_rear_good_tag_ids,best_all_good_tag_ids,backup_front_good_tag_ids,backup_rear_good_tag_ids,backup_all_good_tag_ids
2.8,9.1,outer,270.0,240.0,GOOD,GOOD,87.115956,75.906328,6,1,7,6.6,6.0,0.6,211.16,14 16 17 18 19 20,8,14 16 17 18 19 20 8,13 14 16 17 18,7,13 14 16 17 18 7
2.9,9.1,outer,270.0,240.0,GOOD,GOOD,86.743252,76.379897,6,1,7,6.6,6.0,0.6,207.433,14 16 17 18 19 20,8,14 16 17 18 19 20 8,13 14 16 17 18,7,13 14 16 17 18 7
3.0,9.1,outer,270.0,240.0,GOOD,GOOD,86.368861,82.849808,6,1,7,6.6,6.0,0.6,203.689,14 16 17 18 19 20,8,14 16 17 18 19 20 8,13 14 16 17 18,6 7,13 14 16 17 18 6 7
3.1,9.1,outer,240.0,290.0,GOOD,GOOD,80.316813,76.957246,5,2,7,5.9,4.7,1.2,213.168,13 14 16 17 18,6 7,13 14 16 17 18 6 7,17 18 19 20 21 22,8,17 18 19 20 21 22 8
3.2,9.1,outer,250.0,290.0,GOOD,GOOD,84.003117,77.342966,6,1,7,6.3,5.7,0.6,210.031,13 14 16 17 18 19,7,13 14 16 17 18 19 7,17 18 19 20 21 22,8,17 18 19 20 21 22 8
3.3,9.1,outer,290.0,245.0,GOOD,GOOD,84.680568,80.354076,6,2,8,6.3,5.1,1.2,216.806,17 18 19 20 21 22,8 10,17 18 19 20 21 22 8 10,13 14 16 17 18,6 7,13 14 16 17 18 6 7
3.4,9.1,outer,230.0,290.0,GOOD,GOOD,86.101175,84.379887,6,2,8,6.6,5.7,0.9,201.012,13 14 15 16 17 18,5 6,13 14 15 16 17 18 5 6,17 18 19 20 21 22,8 10,17 18 19 20 21 22 8 10
3.5,9.1,outer,260.0,230.0,GOOD,GOOD,94.077061,86.455897,7,1,8,7.3,6.7,0.6,210.771,14 15 16 17 18 19 20,7,14 15 16 17 18 19 20 7,13 14 15 16 17 18,5 6,13 14 15 16 17 18 5 6
3.6,9.1,outer,260.0,230.0,GOOD,GOOD,93.599103,86.813849,7,1,8,7.3,6.7,0.6,205.991,14 15 16 17 18 19 20,7,14 15 16 17 18 19 20 7,13 14 15 16 17 18,5 6,13 14 15 16 17 18 5 6
3.7,9.1,outer,230.0,260.0,GOOD,GOOD,90.175993,83.115628,6,2,8,6.9,5.7,1.2,211.76,13 14 15 16 17 18,5 6,13 14 15 16 17 18 5 6,15 16 17 18 19 20,7,15 16 17 18 19 20 7
3.8,9.1,outer,240.0,285.0,GOOD,GOOD,93.970946,77.863229,7,1,8,7.3,6.7,0.6,209.709,13 14 15 16 17 18 19,6,13 14 15 16 17 18 19 6,18 19 20 21 22,7 8,18 19 20 21 22 7 8
