group_key,mode,dataset,gt_x,gt_y,gt_h,tag_id,camera_role,kind,value,sigma,base_weight,enabled,weight_multiplier,state,reason,effective_weight
624_x2.000_y3.000_h90.0,distance_angle_yaw,624,2.0,3.0,90.0,45,rear,yaw,5.4,10.0,0.01,True,1.0,USED_NORMAL,,0.01
624_x2.000_y3.000_h90.0,distance_angle_yaw,624,2.0,3.0,90.0,46,rear,distance,2.986,0.05,0.5,True,1.0,USED_NORMAL,,0.5
624_x2.000_y3.000_h90.0,distance_angle_yaw,624,2.0,3.0,90.0,46,rear,angle,-11.5,3.0,0.2,True,1.0,USED_NORMAL,,0.2
624_x2.000_y3.000_h90.0,distance_angle_yaw,624,2.0,3.0,90.0,46,rear,yaw,-2.3,10.0,0.01,True,1.0,USED_NORMAL,,0.01
624_x2.000_y3.000_h180.0,distance_angle_yaw,624,2.0,3.0,180.0,41,front,distance,1.023,0.05,1.0,True,1.0,USED_NORMAL,,1.0
624_x2.000_y3.000_h180.0,distance_angle_yaw,624,2.0,3.0,180.0,41,front,angle,39.3,3.0,0.5,True,1.0,USED_NORMAL,,0.5
624_x2.000_y3.000_h180.0,distance_angle_yaw,624,2.0,3.0,180.0,41,front,yaw,44.4,10.0,0.05,True,1.0,USED_NORMAL,,0.05
624_x2.000_y3.000_h180.0,distance_angle_yaw,624,2.0,3.0,180.0,42,front,distance,0.775,0.05,1.0,True,1.0,USED_NORMAL,,1.0
624_x2.000_y3.000_h180.0,distance_angle_yaw,624,2.0,3.0,180.0,42,front,angle,-22.4,3.0,0.5,True,1.0,USED_NORMAL,,0.5
624_x2.000_y3.000_h180.0,distance_angle_yaw,624,2.0,3.0,180.0,42,front,yaw,-28.3,10.0,0.05,True,1.0,USED_NORMAL,,0.05
624_x2.000_y3.000_h270.0,distance_angle_yaw,624,2.0,3.0,270.0,38,rear,distance,2.216,0.05,0.5,True,1.0,USED_NORMAL,,0.5
624_x2.000_y3.000_h270.0,distance_angle_yaw,624,2.0,3.0,270.0,38,rear,angle,20.0,3.0,0.2,True,1.0,USED_NORMAL,,0.2
624_x2.000_y3.000_h270.0,distance_angle_yaw,624,2.0,3.0,270.0,38,rear,yaw,-3.8,10.0,0.01,True,1.0,USED_NORMAL,,0.01
624_x2.000_y3.000_h270.0,distance_angle_yaw,624,2.0,3.0,270.0,39,rear,distance,2.171,0.05,0.5,True,1.0,USED_NORMAL,,0.5
624_x2.000_y3.000_h270.0,distance_angle_yaw,624,2.0,3.0,270.0,39,rear,angle,-6.8,3.0,0.2,True,1.0,USED_NORMAL,,0.2
