x_m,y_m,room,best_heading_deg,backup_heading_deg,best_status,backup_status,best_score,backup_score,best_front_good_count,best_rear_good_count,best_good_total_count,best_effective_good_count,best_front_weighted_count,best_rear_weighted_count,best_geometry_span_deg,best_front_good_tag_ids,best_rear_good_tag_ids,best_all_good_tag_ids,backup_front_good_tag_ids,backup_rear_good_tag_ids,backup_all_good_tag_ids
8.9,0.0,inner,45.0,75.0,MARGINAL,MARGINAL,31.95902,30.529642,3,0,3,2.7,2.7,0.0,49.59,31 54 55,,31 54 55,31 32 33 55,,31 32 33 55
9.0,0.0,inner,85.0,45.0,MARGINAL,MARGINAL,35.344645,31.935327,5,0,5,2.9,2.9,0.0,63.446,31 32 33 34 55,,31 32 33 34 55,31 54 55,,31 54 55
9.1,0.0,inner,85.0,45.0,MARGINAL,MARGINAL,35.217783,31.893965,5,0,5,2.9,2.9,0.0,62.178,31 32 33 34 55,,31 32 33 34 55,31 54 55,,31 54 55
9.2,0.0,inner,85.0,45.0,MARGINAL,MARGINAL,35.077568,31.831478,5,0,5,2.9,2.9,0.0,60.776,31 32 33 34 55,,31 32 33 34 55,31 54 55,,31 54 55
9.3,0.0,inner,85.0,50.0,MARGINAL,MARGINAL,34.923735,31.743726,5,0,5,2.9,2.9,0.0,59.237,31 32 33 34 55,,31 32 33 34 55,31 54 55,,31 54 55
9.4,0.0,inner,85.0,115.0,MARGINAL,MARGINAL,25.7801,25.7801,4,0,4,2.2,2.2,0.0,37.801,31 32 33 34,,31 32 33 34,31 32 33 34,,31 32 33 34
9.5,0.0,inner,70.0,100.0,MARGINAL,MARGINAL,30.377696,25.722122,3,0,3,2.4,2.4,0.0,63.777,31 32 54,,31 32 54,31 32 33 34,,31 32 33 34
9.6,0.0,inner,70.0,100.0,MARGINAL,BAD,30.144158,20.820806,3,0,3,2.4,2.4,0.0,61.442,31 32 54,,31 32 54,31 32 33,,31 32 33
9.7,0.0,inner,70.0,100.0,MARGINAL,BAD,29.858443,20.771699,3,0,3,2.4,2.4,0.0,58.584,31 32 54,,31 32 54,31 32 33,,31 32 33
9.8,0.0,inner,75.0,105.0,MARGINAL,BAD,29.512424,20.720791,3,0,3,2.4,2.4,0.0,55.124,31 32 54,,31 32 54,31 32 33,,31 32 33
9.9,0.0,inner,85.0,55.0,MARGINAL,MARGINAL,34.015848,23.347609,4,0,4,2.8,2.8,0.0,60.158,31 32 33 54,,31 32 33 54,31 54,,31 54
10.0,0.0,inner,85.0,115.0,MARGINAL,BAD,33.515869,20.614203,4,0,4,2.8,2.8,0.0,55.159,31 32 33 54,,31 32 33 54,31 32 33,,31 32 33
10.1,0.0,inner,85.0,115.0,BAD,BAD,20.558851,20.558851,3,0,3,1.8,1.8,0.0,25.589,31 32 33,,31 32 33,31 32 33,,31 32 33
10.2,0.0,inner,85.0,115.0,BAD,BAD,20.502352,20.502352,3,0,3,1.8,1.8,0.0,25.024,31 32 33,,31 32 33,31 32 33,,31 32 33
10.3,0.0,inner,85.0,115.0,BAD,BAD,20.444876,20.444876,3,0,3,1.8,1.8,0.0,24.449,31 32 33,,31 32 33,31 32 33,,31 32 33
10.4,0.0,inner,90.0,120.0,BAD,BAD,20.386591,20.386591,3,0,3,1.8,1.8,0.0,23.866,31 32 33,,31 32 33,31 32 33,,31 32 33
10.5,0.0,inner,90.0,120.0,BAD,BAD,20.327667,20.327667,3,0,3,1.8,1.8,0.0,23.277,31 32 33,,31 32 33,31 32 33,,31 32 33
10.6,0.0,inner,80.0,110.0,BAD,BAD,15.438372,15.438372,2,0,2,1.4,1.4,0.0,14.384,31 32,,31 32,31 32,,31 32
10.7,0.0,inner,80.0,110.0,BAD,BAD,12.391705,12.391705,2,0,2,1.1,1.1,0.0,13.917,31 32,,31 32,31 32,,31 32
10.8,0.0,inner,85.0,115.0,BAD,BAD,12.344928,12.344928,2,0,2,1.1,1.1,0.0,13.449,31 32,,31 32,31 32,,31 32
10.9,0.0,inner,85.0,115.0,BAD,BAD,12.298167,12.298167,2,0,2,1.1,1.1,0.0,12.982,31 32,,31 32,31 32,,31 32
11.0,0.0,inner,85.0,115.0,BAD,BAD,12.251541,12.251541,2,0,2,1.1,1.1,0.0,12.515,31 32,,31 32,31 32,,31 32
11.1,0.0,inner,85.0,115.0,BAD,BAD,12.205161,12.205161,2,0,2,1.1,1.1,0.0,12.052,31 32,,31 32,31 32,,31 32
11.2,0.0,inner,85.0,115.0,BAD,BAD,12.159135,12.159135,2,0,2,1.1,1.1,0.0,11.591,31 32,,31 32,31 32,,31 32
11.3,0.0,inner,85.0,115.0,BAD,BAD,12.11356,12.11356,2,0,2,1.1,1.1,0.0,11.136,31 32,,31 32,31 32,,31 32
11.4,0.0,inner,90.0,120.0,BAD,BAD,12.068525,12.068525,2,0,2,1.1,1.1,0.0,10.685,31 32,,31 32,31 32,,31 32
0.0,0.1,inner,40.0,70.0,BAD,BAD,8.918385,8.918385,2,0,2,0.8,0.8,0.0,9.184,38 39,,38 39,38 39,,38 39
0.1,0.1,inner,40.0,70.0,BAD,BAD,8.931072,8.931072,2,0,2,0.8,0.8,0.0,9.311,38 39,,38 39,38 39,,38 39
0.2,0.1,inner,40.0,70.0,BAD,BAD,8.943483,8.943483,2,0,2,0.8,0.8,0.0,9.435,38 39,,38 39,38 39,,38 39
0.3,0.1,inner,45.0,75.0,BAD,BAD,8.955582,8.955582,2,0,2,0.8,0.8,0.0,9.556,38 39,,38 39,38 39,,38 39
0.4,0.1,inner,45.0,75.0,BAD,BAD,13.81075,13.81075,3,0,3,1.2,1.2,0.0,18.107,37 38 39,,37 38 39,37 38 39,,37 38 39
0.5,0.1,inner,45.0,75.0,BAD,BAD,13.835729,13.835729,3,0,3,1.2,1.2,0.0,18.357,37 38 39,,37 38 39,37 38 39,,37 38 39
0.6,0.1,inner,45.0,75.0,BAD,BAD,13.860192,13.860192,3,0,3,1.2,1.2,0.0,18.602,37 38 39,,37 38 39,37 38 39,,37 38 39
0.7,0.1,inner,45.0,75.0,BAD,BAD,18.890316,18.890316,4,0,4,1.6,1.6,0.0,28.903,36 37 38 39,,36 37 38 39,36 37 38 39,,36 37 38 39
0.8,0.1,inner,50.0,80.0,BAD,BAD,18.925117,18.925117,4,0,4,1.6,1.6,0.0,29.251,36 37 38 39,,36 37 38 39,36 37 38 39,,36 37 38 39
0.9,0.1,inner,50.0,80.0,BAD,BAD,18.959046,18.959046,4,0,4,1.6,1.6,0.0,29.59,36 37 38 39,,36 37 38 39,36 37 38 39,,36 37 38 39
1.0,0.1,inner,50.0,80.0,BAD,BAD,18.992005,18.992005,4,0,4,1.6,1.6,0.0,29.92,36 37 38 39,,36 37 38 39,36 37 38 39,,36 37 38 39
1.1,0.1,inner,50.0,80.0,BAD,BAD,19.023895,19.023895,4,0,4,1.6,1.6,0.0,30.239,36 37 38 39,,36 37 38 39,36 37 38 39,,36 37 38 39
1.2,0.1,inner,55.0,85.0,BAD,BAD,19.054616,19.054616,4,0,4,1.6,1.6,0.0,30.546,36 37 38 39,,36 37 38 39,36 37 38 39,,36 37 38 39
1.3,0.1,inner,55.0,85.0,BAD,BAD,19.084065,19.084065,4,0,4,1.6,1.6,0.0,30.841,36 37 38 39,,36 37 38 39,36 37 38 39,,36 37 38 39
1.4,0.1,inner,55.0,85.0,BAD,BAD,19.112143,19.112143,4,0,4,1.6,1.6,0.0,31.121,36 37 38 39,,36 37 38 39,36 37 38 39,,36 37 38 39
1.5,0.1,inner,55.0,85.0,BAD,BAD,19.138749,19.138749,4,0,4,1.6,1.6,0.0,31.387,36 37 38 39,,36 37 38 39,36 37 38 39,,36 37 38 39
1.6,0.1,inner,90.0,55.0,MARGINAL,BAD,32.460248,19.163785,5,0,5,2.6,2.6,0.0,64.602,36 37 38 39 44,,36 37 38 39 44,36 37 38 39,,36 37 38 39
