group_key,dataset,gt_x,gt_y,gt_h,initial_x,initial_y,initial_h,no_yaw_ok,with_yaw_ok,no_yaw_est_x,no_yaw_est_y,no_yaw_est_h,no_yaw_pos_err_cm,no_yaw_heading_err_deg,no_yaw_distance_rms_cm,no_yaw_angle_rms_deg,with_yaw_est_x,with_yaw_est_y,with_yaw_est_h,with_yaw_pos_err_cm,with_yaw_heading_err_deg,with_yaw_distance_rms_cm,with_yaw_angle_rms_deg,with_yaw_yaw_rms_deg,yaw_shift_pos_cm,yaw_shift_heading_deg,used_tag_count,used_distance_count,used_angle_count,used_yaw_count,with_yaw_cost,with_yaw_evaluations
624_x5.000_y4.000_h180.0,624,5.0,4.0,180.0,5.2,3.85,200.0,True,True,4.971875000000001,3.965625,177.5,4.441459501109909,2.5,4.402862077972421,2.8888605139728822,4.971875000000001,3.965625,177.5,4.441459501109909,2.5,4.402862077972421,2.8888605139728822,21.942898845030086,0.0,0.0,5,5,5,5,3.6673590841029653,2983
624_x5.000_y4.000_h270.0,624,5.0,4.0,270.0,5.2,3.85,290.0,True,True,5.021875000000001,3.9562500000000003,266.875,4.8913987007808295,3.125,1.3634352193428112,1.2835540853152183,5.021875000000001,3.9562500000000003,266.875,4.8913987007808295,3.125,1.3634352193428112,1.2835540853152183,22.783826122819928,0.0,0.0,5,5,5,5,0.992791734251706,3123
625_x6.000_y2.000_h0.0,625,6.0,2.0,0.0,6.2,1.85,20.0,True,True,5.859375,1.9406250000000003,356.40625,15.264593427274756,3.59375,3.1722344992921916,2.0996030506507672,5.859375,1.9406250000000003,356.40625,15.264593427274756,3.59375,3.1722344992921916,2.0996030506507672,29.345201153695456,0.0,0.0,4,4,4,4,2.0425218884637304,3283
625_x6.000_y2.000_h90.0,625,6.0,2.0,90.0,6.2,1.85,110.0,True,True,5.9625,2.0312500000000004,90.625,4.8814060474416605,0.625,3.251588697728662,5.170394477636174,5.9625,2.0312500000000004,90.625,4.8814060474416605,0.625,3.251588697728662,5.170394477636174,22.15321236378722,0.0,0.0,8,8,8,8,5.845011186475985,2593
625_x6.000_y2.000_h180.0,625,6.0,2.0,180.0,6.2,1.85,200.0,True,True,5.903125,1.9687500000000002,180.9375,10.179060921813933,0.9375,10.129478020414236,3.501759161619101,5.903125,1.96875,180.9375,10.17906092181394,0.9375,10.129478020414235,3.501759161619101,35.32700828011444,2.220446049250313e-14,0.0,7,7,7,7,10.629628289121152,2753
625_x6.000_y2.000_h270.0,625,6.0,2.0,270.0,6.2,1.85,290.0,True,True,6.009375000000001,1.9531250000000002,262.5,4.7803307939932385,7.5,4.273700293748268,1.7251483131630765,6.0125,1.9531250000000002,262.5,4.85130459258124,7.5,4.2629744086804315,1.767593094309913,15.999305780893243,0.3124999999998934,0.0,6,6,6,6,1.8785437394210422,2653
625_x6.000_y4.000_h0.0,625,6.0,4.0,0.0,6.2,3.85,20.0,True,True,5.840624999999999,4.090624999999999,359.0625,18.33392517984081,0.9375,10.749727228076313,2.9197442642971634,5.840624999999999,4.090624999999999,359.0625,18.33392517984081,0.9375,10.749727228076313,2.9197442642971634,17.871788743994248,0.0,0.0,7,7,7,7,11.735998918573214,2903
625_x6.000_y4.000_h90.0,625,6.0,4.0,90.0,6.2,3.85,110.0,True,True,6.028125,4.031249999999999,92.03125,4.204257514710481,2.03125,5.31604928503433,0.8753610183113408,6.028125,4.031249999999999,92.03125,4.204257514710481,2.03125,5.31604928503433,0.8753610183113408,13.647173513956307,0.0,0.0,4,4,4,4,1.527043352837792,2923
625_x6.000_y4.000_h180.0,625,6.0,4.0,180.0,6.2,3.85,200.0,True,True,5.9625,3.975,178.28125,4.506939094329952,1.71875,3.308378611676694,1.6815763096582965,5.9625,3.975,178.28125,4.506939094329952,1.71875,3.308378611676694,1.6815763096582965,27.951584299686136,0.0,0.0,5,5,5,5,2.34092525791564,3493
625_x6.000_y4.000_h270.0,625,6.0,4.0,270.0,6.2,3.85,290.0,True,True,6.068749999999999,3.9499999999999997,265.9375,8.500919067959567,4.0625,2.820449785752327,1.7682358657590478,6.065624999999999,3.9499999999999997,265.9375,8.250236739027486,4.0625,2.8229857862175973,1.7656892704063323,12.462962810360393,0.31249999999998224,0.0,4,4,4,4,1.139271853017136,2963
625_x7.000_y3.000_h0.0,625,7.0,3.0,0.0,7.2,2.85,20.0,True,True,6.778124999999999,3.075,0.3125,23.42082740318974,0.3125,2.4343771721962066,3.239065605348802,6.778124999999999,3.075,0.3125,23.42082740318974,0.3125,2.4343771721962066,3.239065605348802,7.984687343733572,0.0,0.0,3,3,3,3,1.2776834566196174,2703
625_x7.000_y3.000_h90.0,625,7.0,3.0,90.0,7.2,2.85,110.0,True,True,6.949999999999999,3.0093750000000004,88.59375,5.0871314362812345,1.40625,2.0822090071889168,2.1283998060764486,6.949999999999999,3.0093750000000004,88.59375,5.0871314362812345,1.40625,2.0822090071889168,2.1283998060764486,5.733372017364643,0.0,0.0,5,5,5,5,0.5861066537309956,3323
625_x7.000_y3.000_h180.0,625,7.0,3.0,180.0,7.2,2.85,200.0,True,True,6.9593750000000005,3.3437500000000004,179.0625,34.61422440630445,0.9375,7.766594895558117,2.239928633260627,6.9593750000000005,3.3437500000000004,179.0625,34.61422440630445,0.9375,7.766594895558117,2.239928633260627,25.422220982944207,0.0,0.0,4,4,4,4,3.960088369941459,3333
625_x7.000_y3.000_h270.0,625,7.0,3.0,270.0,7.2,2.85,290.0,True,True,7.015625,2.9875000000000003,271.40625,2.0009763241977487,1.40625,2.906709876515835,2.435434572002361,7.015625,2.9875000000000003,271.40625,2.0009763241977487,1.40625,2.906709876515835,2.435434572002361,11.409907473992325,0.0,0.0,7,7,7,7,2.0048193534141534,3113
625_x7.000_y4.000_h0.0,625,7.0,4.0,0.0,7.2,3.85,20.0,True,True,6.784375,4.184375,356.875,28.370456684727536,3.125,3.844559802416661,2.875462671801303,6.784375,4.184375,356.875,28.370456684727536,3.125,3.844559802416661,2.875462671801303,26.25887986780663,0.0,0.0,5,5,5,5,3.3906111141893054,3213
625_x7.000_y4.000_h90.0,625,7.0,4.0,90.0,7.2,3.85,110.0,True,True,7.000000000000001,4.015625,90.0,1.5625,0.0,9.462620035410485,5.387321392880769,7.000000000000001,4.015625,90.0,1.5625,0.0,9.462620035410485,5.387321392880769,12.688768515911791,0.0,0.0,4,4,4,4,5.671044634961858,2633
625_x7.000_y4.000_h180.0,625,7.0,4.0,180.0,7.2,3.85,200.0,True,True,6.9,3.990625,178.4375,10.043849174992587,1.5625,9.916970279778095,7.379339918256538,6.903125,3.990625,178.4375,9.732757188998379,1.5625,9.982322777898162,7.379658484197162,19.433357855954906,0.31249999999998224,0.0,7,7,7,7,14.575791510249132,3013
625_x7.000_y4.000_h270.0,625,7.0,4.0,270.0,7.2,3.85,290.0,True,True,6.8875,4.053125,271.5625,12.441268273371458,1.5625,3.3591351662597093,2.76704705998221,6.890625,4.053125,271.5625,12.159422786464809,1.5625,3.3167501837289093,2.8362913555141205,11.603869652240054,0.31249999999998224,0.0,5,5,5,5,1.7661461775707208,2913
