combo_index,distance_sigma_m,angle_sigma_deg,yaw_sigma_deg,distance_global_weight,angle_global_weight,yaw_global_weight,robust_rejection_score_threshold,robust_min_score_gap,robust_max_rejections,solver_success_rate,position_mean_error_m,position_median_error_m,position_p90_error_m,position_p95_error_m,position_max_error_m,heading_mean_abs_error_deg,heading_median_abs_error_deg,heading_p90_abs_error_deg,heading_p95_abs_error_deg,heading_max_abs_error_deg,position_within_5cm_rate,position_within_10cm_rate,heading_within_5deg_rate,heading_within_10deg_rate,joint_within_10cm_10deg_rate,samples_with_rejection,total_rejected_tags,combo_runtime_s
19,0.05,2.5,3.0,1.0,0.75,0.75,0.8,0.5,1,1.0,0.03689545680759148,0.03464335067276771,0.06503849499864911,0.06764191024921817,0.06918639278540625,1.1502007557573946,0.8261372050941418,2.623229887391915,3.3942693163772333,4.828956841809173,0.8205128205128205,1.0,1.0,1.0,1.0,3,3,0.4047651999935624
20,0.05,2.5,3.0,1.0,0.75,1.0,0.8,0.5,1,1.0,0.03784147403361137,0.03390129519901838,0.0668185363611604,0.07189955388028868,0.08436640100640416,1.1866842951221865,0.8438893853868876,2.8827486563348543,3.3926544142458965,4.878144973464231,0.7692307692307693,1.0,1.0,1.0,1.0,3,3,0.3853679999956512
21,0.05,2.5,3.0,1.0,1.0,0.25,0.8,0.5,1,1.0,0.03783139860274287,0.03695655392225811,0.06210704920769027,0.06615778947532802,0.06869223664428199,1.1403352217865823,0.8017024926633098,2.423354111056483,3.430758747414984,4.706765087560086,0.7948717948717948,1.0,1.0,1.0,1.0,7,7,0.4342991000012262
22,0.05,2.5,3.0,1.0,1.0,0.5,0.8,0.5,1,1.0,0.03817036389514829,0.03645203258040644,0.06258672085351095,0.06676285188891717,0.08156532832460263,1.1640747522484913,0.827997597890203,2.4307399365749234,3.426415873743167,4.773658325372537,0.7948717948717948,1.0,1.0,1.0,1.0,8,8,0.4373342999970191
23,0.05,2.5,3.0,1.0,1.0,0.75,0.8,0.5,1,1.0,0.03758983898000509,0.034138676932094505,0.06389957763552485,0.06735383880237986,0.06873959681840369,1.1794408657687694,0.8409757659788397,2.632425663030631,3.422631108817825,4.830367090331237,0.8205128205128205,1.0,1.0,1.0,1.0,5,5,0.41506610000215005
24,0.05,2.5,3.0,1.0,1.0,1.0,0.8,0.5,1,1.0,0.03744750917338338,0.0335450832345915,0.06305147135024003,0.07144675068054025,0.08508488799083394,1.1584534951940209,0.845405708267748,2.891357223543281,3.41928972334415,4.879111884636103,0.8461538461538461,1.0,1.0,1.0,1.0,5,5,0.4240646999969613
25,0.05,2.5,3.0,1.0,1.25,0.25,0.8,0.5,1,1.0,0.0374888391620419,0.03674027583744523,0.058643156817019954,0.06561799984258063,0.06950699879677862,1.160751499657113,0.8353841400233932,2.3707082003060123,3.4554953896590064,4.709363766403726,0.8461538461538461,1.0,1.0,1.0,1.0,8,8,0.44608910000533797
26,0.05,2.5,3.0,1.0,1.25,0.5,0.8,0.5,1,1.0,0.038089492069262536,0.036785287692491016,0.059433915165138754,0.066130943123756,0.08227583059794993,1.1622384556987815,0.8033001281477539,2.3807795462056447,3.449886470154752,4.775654857816704,0.8205128205128205,1.0,1.0,1.0,1.0,8,8,0.4382146000061766
27,0.05,2.5,3.0,1.0,1.25,0.75,0.8,0.5,1,1.0,0.03857071485725983,0.037417854260587705,0.06662122532066703,0.06831648795274906,0.09285048272238901,1.1767875129459997,0.8255379759291372,2.641619421566247,3.4449658031919626,4.831848805307146,0.8205128205128205,1.0,1.0,1.0,1.0,8,8,0.44012279999878956
28,0.05,2.5,3.0,1.0,1.25,1.0,0.8,0.5,1,1.0,0.03977491662248646,0.03557274877100538,0.06712928748176833,0.08580925308876067,0.10174773718814845,1.19489833987515,0.8457207074953317,2.899963163066559,3.440605981127078,4.88014804100726,0.7692307692307693,0.9743589743589743,1.0,1.0,0.9743589743589743,7,7,0.4294110000046203
29,0.05,2.5,3.0,1.0,1.5,0.25,0.8,0.5,1,1.0,0.036300818456199285,0.037283525616083585,0.058600911770795495,0.06525127646298012,0.07031728380619336,1.1627479101835991,0.8417834825182808,2.330251187155625,3.4748400761650373,4.712038484452421,0.8461538461538461,1.0,1.0,1.0,1.0,11,11,0.463512800000899
30,0.05,2.5,3.0,1.0,1.5,0.5,0.8,0.5,1,1.0,0.037523856185312864,0.03646954091830931,0.05758768270398494,0.06569991935344013,0.08298281157963276,1.1635003341828958,0.7833917140976894,2.356373594882456,3.4685734067834915,4.7777241232595316,0.8205128205128205,1.0,1.0,1.0,1.0,9,9,0.4492367000057129
31,0.05,2.5,3.0,1.0,1.5,0.75,0.8,0.5,1,1.0,0.03793926408542435,0.03691292033698589,0.06614206259770591,0.06791681246458449,0.09347615287259571,1.1775332533755853,0.8044194136139708,2.650811230322006,3.463021376257416,4.833400735987141,0.8205128205128205,1.0,1.0,1.0,1.0,9,9,0.4440861999974004
32,0.05,2.5,3.0,1.0,1.5,1.0,0.8,0.5,1,1.0,0.040412368890432204,0.03704941945244836,0.07060919648723524,0.09905627364157989,0.10230812826391696,1.2266547610365093,0.8572035419084614,2.9085662924773317,3.458063642562422,4.881252360283895,0.7692307692307693,0.9743589743589743,1.0,1.0,0.9743589743589743,10,10,0.4624251999994158
