rank,combo_index,rejection_score_threshold,min_score_gap,max_rejections,solver_success_rate,position_mean_error_m,position_median_error_m,position_p90_error_m,position_p95_error_m,position_max_error_m,heading_mean_abs_error_deg,heading_median_abs_error_deg,heading_p90_abs_error_deg,heading_p95_abs_error_deg,heading_max_abs_error_deg,position_within_5cm_rate,position_within_10cm_rate,heading_within_5deg_rate,heading_within_10deg_rate,joint_within_10cm_10deg_rate,samples_with_rejection,total_rejected_tags,combo_runtime_s
38,58,1.8,0.3,1,1.0,0.036929327253968365,0.03314974695222608,0.06778996261439983,0.07200329330718738,0.08420754069997671,1.160705578540203,0.83746109187922,2.880835021029327,3.385801035393797,4.877939540716881,0.7948717948717948,1.0,1.0,1.0,1.0,0,0,0.37110950000351295
39,59,1.8,0.5,0,1.0,0.036929327253968365,0.03314974695222608,0.06778996261439983,0.07200329330718738,0.08420754069997671,1.160705578540203,0.83746109187922,2.880835021029327,3.385801035393797,4.877939540716881,0.7948717948717948,1.0,1.0,1.0,1.0,0,0,0.3686286000011023
40,60,1.8,0.5,1,1.0,0.036929327253968365,0.03314974695222608,0.06778996261439983,0.07200329330718738,0.08420754069997671,1.160705578540203,0.83746109187922,2.880835021029327,3.385801035393797,4.877939540716881,0.7948717948717948,1.0,1.0,1.0,1.0,0,0,0.36461229999986244
41,30,1.2,0.5,1,1.0,0.03709676016590385,0.03426879802668941,0.06778996261439983,0.07200329330718738,0.08420754069997671,1.1660732806542593,0.83746109187922,2.880835021029327,3.385801035393797,4.877939540716881,0.7948717948717948,1.0,1.0,1.0,1.0,1,1,0.37515849999908824
42,40,1.4,0.5,1,1.0,0.03709676016590385,0.03426879802668941,0.06778996261439983,0.07200329330718738,0.08420754069997671,1.1660732806542593,0.83746109187922,2.880835021029327,3.385801035393797,4.877939540716881,0.7948717948717948,1.0,1.0,1.0,1.0,1,1,0.3724597999971593
43,10,0.8,0.5,1,1.0,0.037706394650070786,0.03426879802668941,0.06778996261439983,0.07200329330718738,0.08420754069997671,1.1756757036869692,0.83746109187922,2.880835021029327,3.385801035393797,4.877939540716881,0.7692307692307693,1.0,1.0,1.0,1.0,2,2,0.38156809999782126
44,20,1.0,0.5,1,1.0,0.037706394650070786,0.03426879802668941,0.06778996261439983,0.07200329330718738,0.08420754069997671,1.1756757036869692,0.83746109187922,2.880835021029327,3.385801035393797,4.877939540716881,0.7692307692307693,1.0,1.0,1.0,1.0,2,2,0.38979660000040894
45,32,1.4,0.05,1,1.0,0.03836185155203381,0.035242534826912524,0.06959816249658328,0.07200329330718738,0.08420754069997671,1.2088835108011722,0.8784307628236547,2.880835021029327,3.385801035393797,4.877939540716881,0.7692307692307693,1.0,1.0,1.0,1.0,2,2,0.3775674999997136
46,34,1.4,0.1,1,1.0,0.03836185155203381,0.035242534826912524,0.06959816249658328,0.07200329330718738,0.08420754069997671,1.2088835108011722,0.8784307628236547,2.880835021029327,3.385801035393797,4.877939540716881,0.7692307692307693,1.0,1.0,1.0,1.0,2,2,0.3828031999983068
47,36,1.4,0.2,1,1.0,0.03836185155203381,0.035242534826912524,0.06959816249658328,0.07200329330718738,0.08420754069997671,1.2088835108011722,0.8784307628236547,2.880835021029327,3.385801035393797,4.877939540716881,0.7692307692307693,1.0,1.0,1.0,1.0,2,2,0.3837368000022252
48,38,1.4,0.3,1,1.0,0.03836185155203381,0.035242534826912524,0.06959816249658328,0.07200329330718738,0.08420754069997671,1.2088835108011722,0.8784307628236547,2.880835021029327,3.385801035393797,4.877939540716881,0.7692307692307693,1.0,1.0,1.0,1.0,2,2,0.38194230000226526
49,28,1.2,0.3,1,1.0,0.040652828555586884,0.038172571852276786,0.06974217011889072,0.08420754069997671,0.10049423579621065,1.231498065985038,0.9140931093997153,2.880835021029327,3.385801035393797,4.877939540716881,0.7435897435897436,0.9743589743589743,1.0,1.0,0.9743589743589743,5,5,0.41608350000024075
50,22,1.2,0.05,1,1.0,0.04205448872610593,0.039417781082448575,0.06974217011889072,0.08420754069997671,0.10049423579621065,1.2237071642095758,0.9360736952059199,2.880835021029327,3.385801035393797,4.877939540716881,0.7435897435897436,0.9743589743589743,1.0,1.0,0.9743589743589743,8,8,0.44049729999824194
51,24,1.2,0.1,1,1.0,0.04205448872610593,0.039417781082448575,0.06974217011889072,0.08420754069997671,0.10049423579621065,1.2237071642095758,0.9360736952059199,2.880835021029327,3.385801035393797,4.877939540716881,0.7435897435897436,0.9743589743589743,1.0,1.0,0.9743589743589743,8,8,0.43836069999815663
52,26,1.2,0.2,1,1.0,0.04205448872610593,0.039417781082448575,0.06974217011889072,0.08420754069997671,0.10049423579621065,1.2237071642095758,0.9360736952059199,2.880835021029327,3.385801035393797,4.877939540716881,0.7435897435897436,0.9743589743589743,1.0,1.0,0.9743589743589743,8,8,0.43411270000069635
53,8,0.8,0.3,1,1.0,0.042801112894218785,0.039000801549351816,0.07200329330718738,0.09930915994395016,0.10049423579621065,1.246434021710876,0.9140931093997153,2.880835021029327,3.385801035393797,4.877939540716881,0.717948717948718,0.9743589743589743,1.0,1.0,0.9743589743589743,9,9,0.4512827000035031
