group_key,dataset,gt_x,gt_y,gt_h,est_x,est_y,est_h,tag_id,camera_role,measured_distance_m,predicted_distance_m,distance_residual_m,distance_residual_cm,distance_weight,measured_angle_deg,predicted_angle_deg,angle_residual_deg,angle_weight
624_x3.000_y4.000_h0.0,624,3.0,4.0,0.0,2.9,4.1125,356.09375,36,front,1.669,1.7061953619229175,-0.0371953619229175,-3.7195361922917503,1.0,-25.8,-25.62022418249751,-0.17977581750250238,0.5
624_x3.000_y4.000_h0.0,624,3.0,4.0,0.0,2.9,4.1125,356.09375,40,rear,1.798,1.726374876496088,0.07162512350391204,7.162512350391204,0.5,22.0,15.80918769503856,6.19081230496144,0.2
624_x3.000_y4.000_h0.0,624,3.0,4.0,0.0,2.9,4.1125,356.09375,41,rear,1.732,1.6779716422832587,0.054028357716741304,5.40283577167413,0.5,-12.4,-18.317345604463952,5.9173456044639465,0.2
624_x3.000_y4.000_h0.0,624,3.0,4.0,0.0,2.9,4.1125,356.09375,56,front,7.384,7.273174071845649,0.11082592815435177,11.082592815435177,1.0,4.6,6.8608408406951185,-2.260840840695124,0.5
624_x3.000_y4.000_h0.0,624,3.0,4.0,0.0,2.9,4.1125,356.09375,57,front,7.133,7.1531534728198025,-0.02015347281980251,-2.015347281980251,1.0,-3.8,-1.1918682449327775,-2.608131755067234,0.5
624_x3.000_y4.000_h90.0,624,3.0,4.0,90.0,3.2,3.85,110.0,38,front,1.21,1.4104736732129295,-0.20047367321292953,-20.047367321292953,1.0,-18.5,-3.003218072170455,-15.496781927829545,0.5
624_x3.000_y4.000_h180.0,624,3.0,4.0,180.0,2.996875,4.0218750000000005,180.0,39,front,1.745,1.7336794776572744,0.011320522342725736,1.1320522342725736,1.0,40.8,42.808628600021166,-2.0086286000211544,0.5
624_x3.000_y4.000_h180.0,624,3.0,4.0,180.0,2.996875,4.0218750000000005,180.0,40,front,1.847,1.8692196316243845,-0.02221963162438456,-2.221963162438456,1.0,19.5,21.27133636734621,-1.7713363673462084,0.5
624_x3.000_y4.000_h180.0,624,3.0,4.0,180.0,2.996875,4.0218750000000005,180.0,41,front,1.778,1.7713644546648215,0.0066355453351785165,0.6635545335178517,1.0,-13.3,-10.469390338551648,-2.8306096614483636,0.5
624_x3.000_y4.000_h180.0,624,3.0,4.0,180.0,2.996875,4.0218750000000005,180.0,42,front,2.124,2.140682024787895,-0.01668202478789471,-1.6682024787894711,1.0,-29.8,-36.45168770434694,6.6516877043469265,0.5
624_x3.000_y4.000_h270.0,624,3.0,4.0,270.0,3.046875,3.9906249999999996,265.78125,38,rear,1.114,1.2106539631375783,-0.09665396313757824,-9.665396313757824,0.5,-13.8,-24.638555273629464,10.838555273629453,0.2
624_x3.000_y4.000_h270.0,624,3.0,4.0,270.0,3.046875,3.9906249999999996,265.78125,45,front,4.153,4.074042426531982,0.0789575734680179,7.8957573468017905,1.0,14.3,15.473610394468267,-1.1736103944682554,0.5
624_x3.000_y4.000_h270.0,624,3.0,4.0,270.0,3.046875,3.9906249999999996,265.78125,46,front,3.83,3.8590085112731694,-0.02900851127316928,-2.900851127316928,1.0,-0.5,2.071739515763113,-2.571739515763113,0.5
624_x3.000_y4.000_h270.0,624,3.0,4.0,270.0,3.046875,3.9906249999999996,265.78125,47,front,3.843,3.8704816581344197,-0.027481658134419717,-2.7481658134419717,1.0,-13.9,-11.89753829526677,-2.0024617047332356,0.5
624_x3.000_y4.000_h270.0,624,3.0,4.0,270.0,3.046875,3.9906249999999996,265.78125,48,front,4.049,4.10679355006447,-0.057793550064469734,-5.779355006446973,1.0,-23.6,-25.150439480339628,1.5504394803396337,0.5
624_x4.000_y3.000_h0.0,624,4.0,3.0,0.0,4.1468750000000005,2.9531250000000004,5.9375,33,front,3.939,3.9136775772033157,0.025322422796684396,2.5322422796684396,1.0,-28.2,-28.99804976773794,0.7980497677379503,0.5
624_x4.000_y3.000_h0.0,624,4.0,3.0,0.0,4.1468750000000005,2.9531250000000004,5.9375,34,front,3.196,3.1746347299782283,0.02136527002177191,2.136527002177191,1.0,-32.0,-38.97017491760678,6.9701749176067835,0.5
624_x4.000_y3.000_h0.0,624,4.0,3.0,0.0,4.1468750000000005,2.9531250000000004,5.9375,41,rear,2.882,2.9697556371461604,-0.0877556371461603,-8.77556371461603,0.5,22.1,20.65812869142107,1.441871308578925,0.2
624_x4.000_y3.000_h0.0,624,4.0,3.0,0.0,4.1468750000000005,2.9531250000000004,5.9375,42,rear,2.743,2.858960343378002,-0.11596034337800232,-11.596034337800232,0.5,1.8,2.019145734498494,-0.21914573449848262,0.2
624_x4.000_y3.000_h0.0,624,4.0,3.0,0.0,4.1468750000000005,2.9531250000000004,5.9375,57,front,5.773,5.9539382978835915,-0.18093829788359184,-18.093829788359184,1.0,-9.6,-1.8930336740768325,-7.706966325923162,0.5
624_x4.000_y3.000_h90.0,624,4.0,3.0,90.0,4.000000000000001,3.0281250000000006,90.9375,35,front,2.594,2.5949742641948124,-0.0009742641948125019,-0.09742641948125019,1.0,35.0,36.274686555676965,-1.2746865556769649,0.5
624_x4.000_y3.000_h90.0,624,4.0,3.0,90.0,4.000000000000001,3.0281250000000006,90.9375,36,front,1.759,1.7429377096017742,0.01606229039822571,1.606229039822571,1.0,16.8,19.017104306675435,-2.2171043066754237,0.5
624_x4.000_y3.000_h90.0,624,4.0,3.0,90.0,4.000000000000001,3.0281250000000006,90.9375,37,front,2.166,2.1560505170377358,0.009949482962264167,0.9949482962264167,1.0,-13.0,-10.000411172539827,-2.9995888274601725,0.5
624_x4.000_y3.000_h90.0,624,4.0,3.0,90.0,4.000000000000001,3.0281250000000006,90.9375,38,front,2.495,2.52103669809841,-0.026036698098409694,-2.6036698098409694,1.0,-27.8,-31.955391692186993,4.155391692186981,0.5
624_x4.000_y3.000_h90.0,624,4.0,3.0,90.0,4.000000000000001,3.0281250000000006,90.9375,48,rear,2.925,2.898142402970498,0.026857597029501967,2.6857597029501967,0.5,-3.1,-9.17324603930092,6.073246039300926,0.2
624_x4.000_y3.000_h180.0,624,4.0,3.0,180.0,3.95,2.9906250000000005,178.4375,39,front,3.098,3.1345540857398118,-0.03655408573981189,-3.6554085739811892,1.0,41.0,43.21589762536715,-2.2158976253671483,0.5
624_x4.000_y3.000_h180.0,624,4.0,3.0,180.0,3.95,2.9906250000000005,178.4375,40,front,3.174,3.1906070341193185,-0.01660703411931852,-1.660703411931852,1.0,29.3,30.800554542965386,-1.500554542965375,0.5
624_x4.000_y3.000_h180.0,624,4.0,3.0,180.0,3.95,2.9906250000000005,178.4375,41,front,2.823,2.7864354754805687,0.03656452451943126,3.6564524519431263,1.0,10.0,13.154404227265445,-3.154404227265445,0.5
624_x4.000_y3.000_h180.0,624,4.0,3.0,180.0,3.95,2.9906250000000005,178.4375,42,front,2.707,2.6859558416335996,0.02104415836640028,2.104415836640028,1.0,-10.5,-6.734432117265442,-3.7655678827345582,0.5
624_x4.000_y3.000_h180.0,624,4.0,3.0,180.0,3.95,2.9906250000000005,178.4375,43,front,2.956,2.957818991133079,-0.0018189911330788178,-0.18189911330788178,1.0,-25.1,-26.82131537730774,1.7213153773077465,0.5
624_x4.000_y3.000_h180.0,624,4.0,3.0,180.0,3.95,2.9906250000000005,178.4375,44,front,3.468,3.516223483427831,-0.048223483427831226,-4.822348342783123,1.0,-31.9,-42.03079753871177,10.13079753871176,0.5
624_x4.000_y3.000_h270.0,624,4.0,3.0,270.0,3.98125,2.9781250000000004,271.875,36,rear,1.722,1.7778168060137725,-0.05581680601377248,-5.581680601377248,0.5,24.5,20.27628279659777,4.223717203402231,0.2
624_x4.000_y3.000_h270.0,624,4.0,3.0,270.0,3.98125,2.9781250000000004,271.875,37,rear,2.169,2.181835711025704,-0.012835711025704022,-1.2835711025704022,0.5,-6.0,-8.389744141322126,2.389744141322126,0.2
624_x4.000_y3.000_h270.0,624,4.0,3.0,270.0,3.98125,2.9781250000000004,271.875,45,front,3.643,3.649712215257877,-0.00671221525787713,-0.671221525787713,1.0,38.0,41.20323760175131,-3.2032376017513116,0.5
624_x4.000_y3.000_h270.0,624,4.0,3.0,270.0,3.98125,2.9781250000000004,271.875,46,front,3.142,3.1349808787371702,0.007019121262829664,0.7019121262829664,1.0,24.5,27.646753680757115,-3.146753680757115,0.5
624_x4.000_y3.000_h270.0,624,4.0,3.0,270.0,3.98125,2.9781250000000004,271.875,48,front,2.828,2.871911874123061,-0.04391187412306108,-4.391187412306108,1.0,-13.7,-8.697770727798627,-5.002229272201362,0.5
624_x4.000_y3.000_h270.0,624,4.0,3.0,270.0,3.98125,2.9781250000000004,271.875,49,front,3.189,3.181531810239411,0.007468189760589272,0.7468189760589272,1.0,-25.5,-25.58201805780658,0.08201805780657878,0.5
624_x4.000_y3.000_h270.0,624,4.0,3.0,270.0,3.98125,2.9781250000000004,271.875,50,front,3.557,3.5742344390496608,-0.01723443904966082,-1.7234439049660821,1.0,-32.2,-40.673562468971625,8.473562468971636,0.5
624_x4.000_y4.000_h0.0,624,4.0,4.0,0.0,3.94375,4.112499999999999,1.875,40,rear,2.804,2.7332190796550555,0.07078092034494432,7.078092034494432,0.5,19.9,14.340154806006893,5.559845193993112,0.2
624_x4.000_y4.000_h0.0,624,4.0,4.0,0.0,3.94375,4.112499999999999,1.875,41,rear,2.743,2.700107159904429,0.04289284009557104,4.289284009557104,0.5,-2.1,-6.859899052035729,4.759899052035735,0.2
624_x4.000_y4.000_h0.0,624,4.0,4.0,0.0,3.94375,4.112499999999999,1.875,55,front,6.609,6.5506102952930165,0.05838970470698346,5.838970470698346,1.0,18.8,23.219902655709518,-4.419902655709507,0.5
624_x4.000_y4.000_h90.0,624,4.0,4.0,90.0,3.915625,4.025,86.5625,36,front,0.916,0.9063484651075265,0.009651534892473501,0.9651534892473501,1.0,37.3,39.81793895885494,-2.517938958854927,0.5
624_x4.000_y4.000_h90.0,624,4.0,4.0,90.0,3.915625,4.025,86.5625,37,front,1.218,1.1673953354471487,0.050604664552851286,5.060466455285129,1.0,-19.8,-19.802645927253195,0.0026459272531837996,0.5
624_x4.000_y4.000_h90.0,624,4.0,4.0,90.0,3.915625,4.025,86.5625,49,rear,4.33,4.146283398667649,0.18371660133235146,18.371660133235146,0.5,-18.1,-25.223744172410704,7.12374417241071,0.2
624_x4.000_y4.000_h180.0,624,4.0,4.0,180.0,3.9718750000000003,3.95,174.375,38,front,1.803,1.7904694002602581,0.012530599739741799,1.25305997397418,1.0,37.3,38.412580242236004,-1.1125802422359925,0.5
624_x4.000_y4.000_h180.0,624,4.0,4.0,180.0,3.9718750000000003,3.95,174.375,40,front,2.786,2.817319924765542,-0.031319924765541796,-3.1319924765541796,1.0,8.3,9.700181519766488,-1.4001815197664769,0.5
624_x4.000_y4.000_h180.0,624,4.0,4.0,180.0,3.9718750000000003,3.95,174.375,41,front,2.757,2.729115872204251,0.027884127795749336,2.7884127795749336,1.0,-12.5,-10.994601590578384,-1.5053984094216162,0.5
624_x4.000_y4.000_h180.0,624,4.0,4.0,180.0,3.9718750000000003,3.95,174.375,42,front,2.943,2.954239435367467,-0.011239435367466744,-1.1239435367466744,1.0,-25.6,-29.705560904814746,4.105560904814752,0.5
