combo_index,rejection_score_threshold,min_score_gap,max_rejections,solver_success_rate,position_mean_error_m,position_median_error_m,position_p90_error_m,position_p95_error_m,position_max_error_m,heading_mean_abs_error_deg,heading_median_abs_error_deg,heading_p90_abs_error_deg,heading_p95_abs_error_deg,heading_max_abs_error_deg,position_within_5cm_rate,position_within_10cm_rate,heading_within_5deg_rate,heading_within_10deg_rate,joint_within_10cm_10deg_rate,samples_with_rejection,total_rejected_tags,combo_runtime_s
30,1.2,0.5,1,1.0,0.041089790602243936,0.03669010838149788,0.07200329330718738,0.07422565966920235,0.11427054170269618,1.1239102890545978,0.83746109187922,2.0741747959150985,3.385801035393797,4.877939540716881,0.6923076923076923,0.9743589743589743,1.0,1.0,0.9743589743589743,4,4,0.42606899999736925
31,1.4,0.05,0,1.0,0.04223053440478594,0.03879504916850857,0.07200329330718738,0.07422565966920235,0.11427054170269618,1.1267474840822707,0.83746109187922,2.0741747959150985,3.385801035393797,4.877939540716881,0.6666666666666666,0.9743589743589743,1.0,1.0,0.9743589743589743,0,0,0.3824440999997023
32,1.4,0.05,1,1.0,0.04054293451648364,0.03669010838149788,0.06974217011889072,0.07422565966920235,0.11427054170269618,1.1216158778960685,0.83746109187922,2.0741747959150985,3.385801035393797,4.877939540716881,0.6923076923076923,0.9743589743589743,1.0,1.0,0.9743589743589743,5,5,0.4304694999991625
33,1.4,0.1,0,1.0,0.04223053440478594,0.03879504916850857,0.07200329330718738,0.07422565966920235,0.11427054170269618,1.1267474840822707,0.83746109187922,2.0741747959150985,3.385801035393797,4.877939540716881,0.6666666666666666,0.9743589743589743,1.0,1.0,0.9743589743589743,0,0,0.38538409999819123
34,1.4,0.1,1,1.0,0.04054293451648364,0.03669010838149788,0.06974217011889072,0.07422565966920235,0.11427054170269618,1.1216158778960685,0.83746109187922,2.0741747959150985,3.385801035393797,4.877939540716881,0.6923076923076923,0.9743589743589743,1.0,1.0,0.9743589743589743,5,5,0.4335146999983408
35,1.4,0.2,0,1.0,0.04223053440478594,0.03879504916850857,0.07200329330718738,0.07422565966920235,0.11427054170269618,1.1267474840822707,0.83746109187922,2.0741747959150985,3.385801035393797,4.877939540716881,0.6666666666666666,0.9743589743589743,1.0,1.0,0.9743589743589743,0,0,0.383190000000468
36,1.4,0.2,1,1.0,0.041089790602243936,0.03669010838149788,0.07200329330718738,0.07422565966920235,0.11427054170269618,1.1239102890545978,0.83746109187922,2.0741747959150985,3.385801035393797,4.877939540716881,0.6923076923076923,0.9743589743589743,1.0,1.0,0.9743589743589743,4,4,0.42349250000188476
37,1.4,0.3,0,1.0,0.04223053440478594,0.03879504916850857,0.07200329330718738,0.07422565966920235,0.11427054170269618,1.1267474840822707,0.83746109187922,2.0741747959150985,3.385801035393797,4.877939540716881,0.6666666666666666,0.9743589743589743,1.0,1.0,0.9743589743589743,0,0,0.38306870000087656
38,1.4,0.3,1,1.0,0.041089790602243936,0.03669010838149788,0.07200329330718738,0.07422565966920235,0.11427054170269618,1.1239102890545978,0.83746109187922,2.0741747959150985,3.385801035393797,4.877939540716881,0.6923076923076923,0.9743589743589743,1.0,1.0,0.9743589743589743,4,4,0.4239135999996506
39,1.4,0.5,0,1.0,0.04223053440478594,0.03879504916850857,0.07200329330718738,0.07422565966920235,0.11427054170269618,1.1267474840822707,0.83746109187922,2.0741747959150985,3.385801035393797,4.877939540716881,0.6666666666666666,0.9743589743589743,1.0,1.0,0.9743589743589743,0,0,0.3788784999997006
40,1.4,0.5,1,1.0,0.041089790602243936,0.03669010838149788,0.07200329330718738,0.07422565966920235,0.11427054170269618,1.1239102890545978,0.83746109187922,2.0741747959150985,3.385801035393797,4.877939540716881,0.6923076923076923,0.9743589743589743,1.0,1.0,0.9743589743589743,4,4,0.4158983999986958
41,1.6,0.05,0,1.0,0.04223053440478594,0.03879504916850857,0.07200329330718738,0.07422565966920235,0.11427054170269618,1.1267474840822707,0.83746109187922,2.0741747959150985,3.385801035393797,4.877939540716881,0.6666666666666666,0.9743589743589743,1.0,1.0,0.9743589743589743,0,0,0.387545699999464
42,1.6,0.05,1,1.0,0.04183967697249572,0.038172571852276786,0.07200329330718738,0.07422565966920235,0.11427054170269618,1.1243749576942288,0.83746109187922,2.0741747959150985,3.385801035393797,4.877939540716881,0.6666666666666666,0.9743589743589743,1.0,1.0,0.9743589743589743,2,2,0.4012557000023662
43,1.6,0.1,0,1.0,0.04223053440478594,0.03879504916850857,0.07200329330718738,0.07422565966920235,0.11427054170269618,1.1267474840822707,0.83746109187922,2.0741747959150985,3.385801035393797,4.877939540716881,0.6666666666666666,0.9743589743589743,1.0,1.0,0.9743589743589743,0,0,0.3783331000013277
44,1.6,0.1,1,1.0,0.04183967697249572,0.038172571852276786,0.07200329330718738,0.07422565966920235,0.11427054170269618,1.1243749576942288,0.83746109187922,2.0741747959150985,3.385801035393797,4.877939540716881,0.6666666666666666,0.9743589743589743,1.0,1.0,0.9743589743589743,2,2,0.3966643000021577
45,1.6,0.2,0,1.0,0.04223053440478594,0.03879504916850857,0.07200329330718738,0.07422565966920235,0.11427054170269618,1.1267474840822707,0.83746109187922,2.0741747959150985,3.385801035393797,4.877939540716881,0.6666666666666666,0.9743589743589743,1.0,1.0,0.9743589743589743,0,0,0.3796326000010595
46,1.6,0.2,1,1.0,0.04183967697249572,0.038172571852276786,0.07200329330718738,0.07422565966920235,0.11427054170269618,1.1243749576942288,0.83746109187922,2.0741747959150985,3.385801035393797,4.877939540716881,0.6666666666666666,0.9743589743589743,1.0,1.0,0.9743589743589743,2,2,0.4020708999996714
47,1.6,0.3,0,1.0,0.04223053440478594,0.03879504916850857,0.07200329330718738,0.07422565966920235,0.11427054170269618,1.1267474840822707,0.83746109187922,2.0741747959150985,3.385801035393797,4.877939540716881,0.6666666666666666,0.9743589743589743,1.0,1.0,0.9743589743589743,0,0,0.384552800001984
