group_key,dataset,gt_x,gt_y,gt_h,est_x,est_y,fixed_heading_deg,tag_id,camera_role,measured_distance_m,predicted_distance_m,residual_m,residual_cm,weight
624_x5.000_y4.000_h0.0,624,5.0,4.0,0.0,4.890624999999999,4.234375,0.0,34,front,1.821,1.7876173475467294,0.033382652453270545,3.3382652453270545,1.0
624_x5.000_y4.000_h0.0,624,5.0,4.0,0.0,4.890624999999999,4.234375,0.0,40,rear,3.817,3.64548361417933,0.17151638582067008,17.151638582067008,0.5
624_x5.000_y4.000_h0.0,624,5.0,4.0,0.0,4.890624999999999,4.234375,0.0,55,front,5.773,5.730573774173927,0.04242622582607236,4.242622582607236,1.0
624_x5.000_y4.000_h0.0,624,5.0,4.0,0.0,4.890624999999999,4.234375,0.0,56,front,5.408,5.363855962015573,0.04414403798442734,4.414403798442734,1.0
624_x5.000_y4.000_h0.0,624,5.0,4.0,0.0,4.890624999999999,4.234375,0.0,57,front,5.145,5.17525127711206,-0.030251277112060215,-3.0251277112060215,1.0
624_x5.000_y4.000_h90.0,624,5.0,4.0,90.0,4.918750000000001,4.046875,90.0,35,front,1.276,1.2424693469558916,0.033530653044108405,3.3530653044108405,1.0
624_x5.000_y4.000_h90.0,624,5.0,4.0,90.0,4.918750000000001,4.046875,90.0,36,front,0.814,0.742061370861603,0.07193862913839699,7.193862913839699,1.0
624_x5.000_y4.000_h90.0,624,5.0,4.0,90.0,4.918750000000001,4.046875,90.0,48,rear,3.962,3.8933908843224305,0.06860911567756967,6.8609115677569665,0.5
624_x5.000_y4.000_h90.0,624,5.0,4.0,90.0,4.918750000000001,4.046875,90.0,49,rear,3.893,3.9081507875368624,-0.015150787536862609,-1.5150787536862609,0.5
624_x5.000_y4.000_h90.0,624,5.0,4.0,90.0,4.918750000000001,4.046875,90.0,50,rear,4.105,3.9686654026416734,0.13633459735832698,13.633459735832698,0.5
624_x5.000_y4.000_h180.0,624,5.0,4.0,180.0,4.968750000000001,3.9656249999999997,180.0,38,front,2.587,2.5959960907376205,-0.00899609073762031,-0.899609073762031,1.0
624_x5.000_y4.000_h180.0,624,5.0,4.0,180.0,4.968750000000001,3.9656249999999997,180.0,40,front,3.743,3.785663178773966,-0.04266317877396597,-4.266317877396597,1.0
624_x5.000_y4.000_h180.0,624,5.0,4.0,180.0,4.968750000000001,3.9656249999999997,180.0,41,front,3.8,3.7232372611915303,0.07676273880846951,7.676273880846951,1.0
624_x5.000_y4.000_h180.0,624,5.0,4.0,180.0,4.968750000000001,3.9656249999999997,180.0,42,front,3.9,3.888641562695771,0.011358437304228808,1.1358437304228808,1.0
624_x5.000_y4.000_h180.0,624,5.0,4.0,180.0,4.968750000000001,3.9656249999999997,180.0,43,front,4.276,4.317616032386971,-0.04161603238697076,-4.161603238697076,1.0
