group_key,dataset,gt_x,gt_y,gt_h,initial_x,initial_y,fixed_heading_deg,est_x,est_y,ok,detail,observation_count,used_distance_count,initial_pos_err_cm,pos_err_cm,distance_rms_cm,distance_max_abs_cm,cost,iterations,evaluations
625_x6.000_y4.000_h180.0,625,6.0,4.0,180.0,6.2,3.85,180.0,5.9593750000000005,3.971875,True,ok,5,5,25.00000000000001,4.941058844013059,3.2993885315236384,5.081016774561853,1.0885964681949711,13,105
625_x6.000_y4.000_h270.0,625,6.0,4.0,270.0,6.2,3.85,270.0,6.065625,3.95,True,ok,4,4,25.00000000000001,8.25023673902753,2.8198857858234563,4.602604751463524,0.6361404676071336,14,113
625_x7.000_y3.000_h0.0,625,7.0,3.0,0.0,7.2,2.85,0.0,6.781249999999999,3.075,True,ok,3,3,25.00000000000001,23.12500000000009,2.42307477612399,3.212808770282072,0.35227748224129946,11,89
625_x7.000_y3.000_h90.0,625,7.0,3.0,90.0,7.2,2.85,90.0,6.90625,3.015625,True,ok,5,5,25.00000000000001,9.504316453590969,1.3740154603955874,2.5243023234160056,0.11953992592510101,15,121
625_x7.000_y3.000_h180.0,625,7.0,3.0,180.0,7.2,2.85,180.0,6.9593750000000005,3.3656250000000014,True,ok,4,4,25.00000000000001,36.78750212368339,7.522517169522485,11.15308385905287,3.28314836959019,16,129
625_x7.000_y3.000_h270.0,625,7.0,3.0,270.0,7.2,2.85,270.0,7.031249999999999,2.984375,True,ok,7,7,25.00000000000001,3.493856214843342,2.86286093130774,4.183144868142286,0.9745109210207998,14,113
625_x7.000_y4.000_h0.0,625,7.0,4.0,0.0,7.2,3.85,0.0,6.7875,4.178125,True,ok,5,5,25.00000000000001,27.728102283603906,3.8407697036971395,6.976582054429148,1.4751511916837814,15,121
625_x7.000_y4.000_h90.0,625,7.0,4.0,90.0,7.2,3.85,90.0,6.846875,4.0062500000000005,True,ok,4,4,25.00000000000001,15.325249794049057,7.066010706777588,12.461802604010686,2.4404795365790832,14,113
625_x7.000_y4.000_h180.0,625,7.0,4.0,180.0,7.2,3.85,180.0,6.9,3.934375,True,ok,7,7,25.00000000000001,11.961037005627858,9.648731092468138,14.467992358963144,9.41081096354052,13,105
625_x7.000_y4.000_h270.0,625,7.0,4.0,270.0,7.2,3.85,270.0,6.93125,4.05,True,ok,5,5,25.00000000000001,8.500919067959613,3.0559956880456567,4.150652536036015,0.9271774073786652,13,105
625_x8.000_y3.000_h0.0,625,8.0,3.0,0.0,8.2,2.85,0.0,7.762499999999999,3.0562500000000004,True,ok,4,4,24.99999999999994,24.40703023720837,0.8097436143519086,1.0667462233493907,0.052454777678695386,14,113
625_x8.000_y3.000_h90.0,625,8.0,3.0,90.0,8.2,2.85,90.0,7.834374999999999,2.9875,True,ok,6,6,24.99999999999994,16.609602832398014,3.526772081766848,5.383256097484734,1.2027282624461277,15,121
625_x8.000_y3.000_h180.0,625,8.0,3.0,180.0,8.2,2.85,180.0,7.949999999999999,2.9625,True,ok,9,9,24.99999999999994,6.250000000000062,11.54041848076693,22.821836595122402,16.66992534072665,12,97
625_x8.000_y3.000_h270.0,625,8.0,3.0,270.0,8.2,2.85,270.0,8.021874999999998,3.0125,True,ok,6,6,24.99999999999994,2.5194555463431203,2.194290879922926,3.7528437523550284,0.5428498710649606,12,97
625_x8.000_y4.000_h0.0,625,8.0,4.0,0.0,8.2,3.85,0.0,7.746874999999999,4.034375,True,ok,4,4,24.99999999999994,25.544844147107327,0.4408740696940008,0.6681793524084156,0.015549595626284054,13,105
625_x8.000_y4.000_h90.0,625,8.0,4.0,90.0,8.2,3.85,90.0,7.9468749999999995,3.9781249999999995,True,ok,2,2,24.99999999999994,5.745242597140768,0.05761608241037558,0.07780088759294923,0.0001327845180927676,13,105
625_x8.000_y4.000_h180.0,625,8.0,4.0,180.0,8.2,3.85,180.0,7.796874999999999,3.76875,True,ok,5,5,24.99999999999994,30.779267068109412,8.49935270349,12.20949259614903,5.716863376628289,13,105
625_x8.000_y4.000_h270.0,625,8.0,4.0,270.0,8.2,3.85,270.0,8.087499999999999,4.0,True,ok,2,2,24.99999999999994,8.749999999999858,0.12264004470891056,0.1436577699675201,0.0006016232226481432,12,97
625_x9.000_y3.000_h0.0,625,9.0,3.0,0.0,9.2,2.85,0.0,8.731250000000001,3.046875,True,ok,3,3,24.99999999999994,27.280730951534167,0.4497507271193404,0.6724419953722194,0.012136542992662522,14,113
625_x9.000_y3.000_h90.0,625,9.0,3.0,90.0,9.2,2.85,90.0,8.775,2.96875,True,ok,6,6,24.99999999999994,22.715977306732775,3.1617783834548425,5.139237643734562,0.7208937893927737,13,105
625_x9.000_y3.000_h180.0,625,9.0,3.0,180.0,9.2,2.85,180.0,8.840625000000003,2.8624999999999994,True,ok,2,2,24.99999999999994,21.049142648810964,0.11369654784620521,0.13939898340455947,0.0003227554339435306,15,121
625_x9.000_y3.000_h270.0,625,9.0,3.0,270.0,9.2,2.85,270.0,8.98125,3.0312500000000004,True,ok,5,5,24.99999999999994,3.6443449342783873,3.6347451250456553,5.262285394106581,1.2642552931754394,10,81
625_x9.000_y4.000_h0.0,625,9.0,4.0,0.0,9.2,3.85,0.0,8.718750000000002,4.028125000000001,True,ok,2,2,24.99999999999994,28.265275184402338,0.07251653359289827,0.0914396026453046,0.00021034590577319768,16,129
625_x9.000_y4.000_h90.0,625,9.0,4.0,90.0,9.2,3.85,90.0,8.803125000000001,3.9093750000000007,True,ok,2,2,24.99999999999994,21.67317610549947,0.07910348220907697,0.102931611714141,0.00025029443590407035,13,105
625_x9.000_y4.000_h180.0,625,9.0,4.0,180.0,9.2,3.85,180.0,8.709375,3.64375,True,ok,4,4,24.99999999999994,45.97574938214714,10.097877180737196,14.126871912934448,6.161684784135678,16,129
625_x9.000_y4.000_h270.0,625,9.0,4.0,270.0,9.2,3.85,270.0,8.90625,4.01875,True,ok,5,5,24.99999999999994,9.560661587986468,3.1895272493650846,3.998422774428434,1.01730840744424,14,113
