sample_uid,observation_uid,tag_id,camera_role,pass1_estimated_x_m,pass1_estimated_y_m,pass1_estimated_heading_deg,measured_distance_m,predicted_distance_m,distance_residual_m_signed,distance_residual_sigma_signed,distance_residual_sigma_abs,measured_angle_deg,predicted_angle_deg,angle_residual_deg_signed,angle_residual_sigma_signed,angle_residual_sigma_abs,gt_distance_error_m,gt_angle_error_deg,gt_yaw_error_deg,measured_yaw_deg
main29_s004,main29_s004_o025,39,rear,1.9339773752528007,4.013788258905508,288.78697281274094,1.094,1.1326717411582268,0.03867174115822669,0.7734348231645338,0.7734348231645338,7.0,6.614816439112019,-0.385183560887981,-0.12839452029599366,0.12839452029599366,-0.068,2.1,-1.3,-16.4
main29_s021,main29_s021_o134,55,front,7.0416569039701535,4.0197547018025785,297.04689302688865,3.91,3.948077773261389,0.03807777326138906,0.7615554652277812,0.7615554652277812,-25.4,-28.44335222119662,-3.0433522211966135,-0.7173249977157558,0.7173249977157558,-0.063,5.7,2.7,36.6
main29_s009,main29_s009_o058,47,rear,3.9576063176772878,2.0124970587620283,65.71556089813157,1.839,1.8770085485723738,0.03800854857237379,0.7601709714474758,0.7601709714474758,-14.2,-13.54518624842217,0.6548137515778194,0.1543410813849598,0.1543410813849598,-0.034,-1.3,-14.4,-2.3
main29_s002,main29_s002_o010,39,front,2.0273005543499134,2.014521233753247,70.80143271452341,3.11,3.1478803885741793,0.03788038857417941,0.7576077714835883,0.7576077714835883,-24.2,-26.02909542712632,-1.829095427126333,-0.6096984757087777,0.6096984757087777,-0.049,2.1,24.2,17.9
main29_s017,main29_s017_o110,49,front,6.092886903515829,4.000823099971043,261.5240984759327,3.934,3.896835450665736,-0.03716454933426405,-0.743290986685281,0.743290986685281,-1.2,0.7501590869478605,1.9501590869478491,0.6500530289826164,0.6500530289826164,0.052,0.9,-10.0,-2.2
main29_s029,main29_s029_o178,58,rear,9.06981464455596,4.016759168985723,246.21582954942085,0.707,0.7436326557150214,0.03663265571502139,0.7326531143004278,0.7326531143004278,12.9,11.82082992649083,-1.0791700735091752,-0.25436282567730756,0.25436282567730756,-0.091,-1.0,-4.8,-55.9
repeat10_s008,repeat10_s008_o053,34,rear,6.027791298254658,3.981003207998052,260.4986423307292,1.172,1.2082913582621189,0.03629135826211893,0.7258271652423787,0.7258271652423787,11.4,10.275172374441752,-1.1248276255582539,-0.2651244138994014,0.2651244138994014,-0.028,0.1,-3.2,18.1
main29_s020,main29_s020_o126,49,front,7.00500866217152,2.9765963311815775,250.80651952272933,3.247,3.2109459021516282,-0.03605409784837166,-0.7210819569674332,0.7210819569674332,8.6,9.200906778682906,0.6009067786829121,0.2003022595609707,0.2003022595609707,0.018,0.5,-57.8,-29.7
main29_s009,main29_s009_o056,37,front,3.9576063176772878,2.0124970587620283,65.71556089813157,3.117,3.1527474295352027,0.03574742953520271,0.7149485907040543,0.7149485907040543,-26.7,-31.26617974326018,-4.566179743260193,-1.0762588868586438,1.0762588868586438,-0.054,6.1,31.4,23.6
main29_s028,main29_s028_o172,32,rear,9.02070612718316,3.0247724007909293,293.06609646504353,2.224,2.1882830802837336,-0.03571691971626656,-0.7143383943253312,0.7143383943253312,6.9,6.571129268291543,-0.3288707317084629,-0.1096235772361543,0.1096235772361543,0.018,-2.4,0.1,-15.6
main29_s028,main29_s028_o169,53,front,9.02070612718316,3.0247724007909293,293.06609646504353,2.973,2.937927991264327,-0.035072008735673066,-0.7014401747134613,0.7014401747134613,10.9,11.10764971515323,0.20764971515322372,0.06921657171774125,0.06921657171774125,0.054,-1.7,-3.8,-16.3
main29_s001,main29_s001_o003,37,front,2.012496119636617,1.0195541093616312,59.772944436097625,4.444,4.408930793041348,-0.03506920695865201,-0.7013841391730402,0.7013841391730402,-12.1,-9.549709068487033,2.5502909315129614,0.8500969771709871,0.8500969771709871,0.012,-2.8,-44.5,-23.8
repeat10_s002,repeat10_s002_o009,48,front,2.004288978393428,3.976850621989622,288.34857141089714,4.527,4.568359902567355,0.041359902567355,0.6920835435890003,0.6920835435890003,-15.1,-14.80544536194293,0.2945546380570647,0.09818487935235491,0.09818487935235491,-0.063,-2.1,-1.4,-34.4
main29_s014,main29_s014_o090,47,front,5.019313878000849,2.9796579852478153,245.62937118706427,3.2,3.165710071565809,-0.0342899284341911,-0.6857985686838219,0.6857985686838219,0.8,2.2727638663433254,1.472763866343314,0.4909212887811047,0.4909212887811047,0.024,-0.3,-6.5,19.7
main29_s014,main29_s014_o093,34,rear,5.019313878000849,2.9796579852478153,245.62937118706427,2.604,2.55994364768757,-0.044056352312430214,-0.6825180752027554,0.6825180752027554,9.0,8.74935968645724,-0.2506403135427604,-0.08354677118092013,0.08354677118092013,0.05,0.3,-1.3,32.4
main29_s011,main29_s011_o068,46,front,4.0348269179096565,3.9255296248728273,220.11959351968136,3.995,4.02865903174271,0.0336590317427099,0.673180634854198,0.673180634854198,-26.2,-30.063645693189187,-3.8636456931891985,-0.9106700232520938,0.9106700232520938,-0.093,4.8,10.4,29.4
main29_s007,main29_s007_o041,45,front,2.9323591411413403,4.0084615377368005,276.6096172055182,4.022,4.055412305451592,0.03341230545159135,0.668246109031827,0.668246109031827,26.0,24.750777368024615,-1.2492226319753854,-0.294444598093834,0.294444598093834,-0.048,-3.2,3.3,22.5
main29_s015,main29_s015_o096,46,front,5.018093128283976,3.9672444107794367,245.55706065840047,4.459,4.4921961432546285,0.03319614325462883,0.6639228650925766,0.6639228650925766,6.4,7.3742614403817015,0.9742614403816958,0.32475381346056525,0.32475381346056525,-0.052,0.0,-2.6,28.8
repeat10_s007,repeat10_s007_o044,35,front,5.999390511338628,2.020262861701569,64.27765498267784,3.134,3.167063514161366,0.033063514161366214,0.6612702832273243,0.6612702832273243,-28.9,-35.37911643917522,-6.479116439175215,-1.5271423900793442,1.5271423900793442,-0.053,5.7,-22.7,-32.3
main29_s004,main29_s004_o024,49,front,1.9339773752528007,4.013788258905508,288.78697281274094,5.179,5.217385162961391,0.03838516296139094,0.6423066292358431,0.6423066292358431,-22.2,-23.46767458592717,-1.2676745859271819,-0.42255819530906064,0.42255819530906064,0.016,-0.4,-2.1,-43.9
main29_s021,main29_s021_o132,51,front,7.0416569039701535,4.0197547018025785,297.04689302688865,3.534,3.565952721043291,0.03195272104329128,0.6390544208658255,0.6390544208658255,20.3,20.09944961567203,-0.20055038432798256,-0.06685012810932751,0.06685012810932751,-0.018,3.0,19.0,11.3
main29_s011,main29_s011_o067,45,front,4.0348269179096565,3.9255296248728273,220.11959351968136,4.412,4.442092526217332,0.030092526217331717,0.6018505243466343,0.6018505243466343,-18.7,-18.444202073316546,0.25579792668344226,0.08526597556114741,0.08526597556114741,-0.076,0.7,0.0,30.6
